bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Shashank Singh,PBKS,3,134,72,2,8,10,24,2,1,11.17,36.0,4.0,33.33,80.84,1-39 (24),0-0-0
DR Mousley,LSG,2,80,42,2,7,3,9,3,0,11.43,21.0,4.2,21.43,88.17,2-41 (24),0-0-0
J Overton,RR,1,46,24,2,4,2,5,1,0,11.5,12.0,4.0,20.83,0.0,2-46 (24),0-0-0
MJ Owen,MI,1,46,24,2,1,4,4,0,0,11.5,12.0,4.8,16.67,0.0,2-46 (24),0-0-0
JC Archer,DC,2,81,42,2,8,4,9,0,0,11.57,21.0,3.5,21.43,83.81,2-38 (24),0-0-0
Rasikh Salam,SRH,2,97,48,2,15,2,11,2,1,12.12,24.0,2.82,22.92,77.19,1-45 (24),0-0-0
Naman Tiwari,CSK,1,54,24,2,6,3,8,0,0,13.5,12.0,2.67,33.33,0.0,2-54 (24),0-0-0
S Gill,RCB,1,11,18,1,1,0,10,0,0,3.67,18.0,18.0,55.56,0.0,1-11 (18),0-0-0
AR Patel,PBKS,2,44,42,1,0,2,16,2,1,6.29,42.0,21.0,38.1,167.16,1-34 (24),0-0-0
JR Hazlewood,MI,2,67,48,1,4,2,11,2,0,8.38,48.0,8.0,22.92,86.6,1-24 (24),0-0-0
Ashutosh Sharma,GT,2,71,48,1,5,1,10,2,0,8.88,48.0,8.0,20.83,84.93,1-31 (24),0-0-0
D Forrester,MI,1,32,21,1,4,1,6,0,0,9.14,21.0,4.2,28.57,0.0,1-32 (21),0-0-0
DS Rathi,LSG,1,39,24,1,4,1,8,0,0,9.75,24.0,4.8,33.33,0.0,1-39 (24),0-0-0
M Siddharth,GT,2,79,48,1,8,3,18,4,0,9.88,48.0,4.36,37.5,73.84,1-38 (24),0-0-0
Chirag Jani,RCB,2,71,42,1,9,2,11,1,0,10.14,42.0,3.82,26.19,65.83,1-33 (24),0-0-0
Harsh Dubey,DC,1,41,24,1,4,1,7,2,0,10.25,24.0,4.8,29.17,0.0,1-41 (24),0-0-0
SP Narine,SRH,2,82,48,1,5,5,9,1,0,10.25,48.0,4.8,18.75,64.17,1-37 (24),0-0-0
C Green,KKR,2,84,48,1,8,4,13,0,0,10.5,48.0,4.0,27.08,64.69,1-36 (24),0-0-0
B Kumar,KKR,2,86,47,1,9,4,10,0,1,10.98,47.0,3.62,21.28,58.86,1-37 (24),0-0-0
HJ Manenti,RCB,1,41,22,1,0,4,3,0,0,11.18,22.0,5.5,13.64,0.0,1-41 (22),0-0-0
Junaid Siddique,RR,1,45,24,1,5,3,10,1,0,11.25,24.0,3.0,41.67,0.0,1-45 (24),0-0-0
Ravi Teja,PBKS,1,46,24,1,4,3,10,0,0,11.5,24.0,3.43,41.67,0.0,1-46 (24),0-0-0
KA Pollard,RR,1,47,24,1,5,2,3,0,0,11.75,24.0,3.43,12.5,0.0,1-47 (24),0-0-0
Kranthi Kumar,CSK,1,24,12,1,2,1,2,0,0,12.0,12.0,4.0,16.67,0.0,1-24 (12),0-0-0
RE van der Merwe,CSK,2,96,48,1,6,8,14,1,0,12.0,48.0,3.43,29.17,60.4,1-40 (24),0-0-0
SS Ghosh,RCB,1,38,18,1,5,1,4,2,0,12.67,18.0,3.0,22.22,0.0,1-38 (18),0-0-0
Praveen Dubey,MI,1,51,24,1,2,5,5,0,0,12.75,24.0,3.43,20.83,0.0,1-51 (24),0-0-0
Sonu Yadav,CSK,1,53,24,1,6,3,8,0,0,13.25,24.0,2.67,33.33,0.0,1-53 (24),0-0-0
Shubhang Hegde,LSG,2,68,30,1,9,2,3,2,0,13.6,30.0,2.73,10.0,52.92,1-53 (24),0-0-0
MA Starc,MI,1,55,24,1,4,3,4,0,0,13.75,24.0,3.43,16.67,0.0,1-55 (24),0-0-0
Yash Singh,RCB,1,45,18,1,6,2,3,0,0,15.0,18.0,2.25,16.67,0.0,1-45 (18),0-0-0
AM Hardie,CSK,1,1,6,0,0,0,6,1,0,1.0,inf,inf,100.0,0.0,0-1 (6),0-0-0
Akash Vasisht,DC,1,25,24,0,2,0,6,0,1,6.25,inf,12.0,25.0,0.0,0-25 (24),0-0-0
Sunil Kumar,MI,1,26,24,0,3,0,9,1,0,6.5,inf,8.0,37.5,0.0,0-26 (24),0-0-0
Utkarsh Singh,RR,1,31,24,0,1,1,5,0,0,7.75,inf,12.0,20.83,0.0,0-31 (24),0-0-0
CH Gayle,RCB,1,16,12,0,0,1,2,0,0,8.0,inf,12.0,16.67,0.0,0-16 (12),0-0-0
GJ Maxwell,DC,2,19,12,0,2,0,2,0,0,9.5,inf,6.0,16.67,0.0,0-8 (6),0-0-0
Ramandeep Singh,RCB,1,19,12,0,0,1,0,2,0,9.5,inf,12.0,0.0,0.0,0-19 (12),0-0-0
Rashid Khan,RCB,1,30,18,0,3,1,3,0,0,10.0,inf,4.5,16.67,0.0,0-30 (18),0-0-0
Fazalhaq Farooqi,GT,1,42,24,0,4,1,2,1,0,10.5,inf,4.8,8.33,0.0,0-42 (24),0-0-0
C Sakariya,RR,2,86,48,0,11,2,12,1,0,10.75,inf,3.69,25.0,39.0,0-36 (24),0-0-0
Abhilash Shetty,MI,2,90,48,0,14,1,15,3,0,11.25,inf,3.2,31.25,39.64,0-37 (24),0-0-0
Geet Puri,CSK,2,69,36,0,6,2,4,1,0,11.5,inf,4.5,11.11,35.36,0-20 (12),0-0-0
HH Pandya,LSG,2,92,48,0,9,4,12,2,0,11.5,inf,3.69,25.0,37.9,0-29 (24),0-0-0
KA Maharaj,RCB,1,37,19,0,4,2,7,1,0,11.68,inf,3.17,36.84,0.0,0-37 (19),0-0-0
Pulkit Narang,KKR,1,36,18,0,1,3,2,0,1,12.0,inf,4.5,11.11,0.0,0-36 (18),0-0-0
SH Johnson,KKR,1,36,18,0,2,1,3,1,0,12.0,inf,6.0,16.67,0.0,0-36 (18),0-0-0
HB Shipley,LSG,1,54,24,0,5,3,4,1,0,13.5,inf,3.0,16.67,0.0,0-54 (24),0-0-0
RA Jadeja,CSK,1,46,18,0,8,1,4,1,0,15.33,inf,2.0,22.22,0.0,0-46 (18),0-0-0
M Pathirana,CSK,1,32,12,0,5,0,0,3,0,16.0,inf,2.4,0.0,0.0,0-32 (12),0-0-0
AK Markram,DC,1,66,24,0,9,3,2,1,0,16.5,inf,2.0,8.33,0.0,0-66 (24),0-0-0
