Player,Team,TI,B.Impact,Bo.Impact
Cheepurapalli Stephen,RR,111.41,-1.75,113.16
DJ Willey,MI,107.55,0.9100000000000001,106.64
RR Rossouw,PBKS,107.41,107.41,0.0
LS Livingstone,KKR,107.4,37.35,70.05000000000001
AR Patel,GT,102.15,-1.74,103.9
T Stubbs,PBKS,101.35,101.35,0.0
Shubhang Hegde,LSG,96.46000000000001,-1.81,98.27
SR Watson,LSG,93.77,73.1,20.66
D Brevis,GT,91.97,91.97,0.0
Rituraj Sharma,DC,91.4,91.4,0.0
Rishabh Chouhan,GT,91.24000000000001,60.2,31.04
JC Archer,LSG,89.64999999999999,6.52,83.12
Karan Shinde,DC,81.67,81.67,0.0
Akash Vasisht,DC,79.01,4.49,74.51
Washington Sundar,GT,77.14,0.0,77.14
C Sakariya,RR,77.06,0.0,77.06
Nithish Kumar Reddy,GT,75.45,90.67999999999999,-15.23
BM Duckett,KKR,74.95,74.95,0.0
Ashutosh Sharma,GT,74.57,24.71,49.85
Shadab Khan,SRH,71.0,-1.77,72.77000000000001
Taskin Ahmed,MI,69.91,7.630000000000001,62.28
AB de Villiers,CSK,68.55,68.55,0.0
V Kohli,RR,65.06,65.06,0.0
JC Buttler,SRH,64.50999999999999,64.50999999999999,0.0
M Shahrukh Khan,MI,61.84,27.44,34.4
MJ Owen,DC,61.64,43.37,18.27
JN Loftie-Eaton,RR,60.81,-3.08,63.89
Parth Chandan,DC,58.52,0.0,58.52
Akhil Singh Rawat,KKR,58.01,58.01,0.0
T Banton,SRH,53.73,53.73,0.0
Salman Nizar,KKR,48.36,48.36,0.0
AGS Gous,DC,48.16,48.16,0.0
Parvej Musaraf,RCB,47.06,-0.78,47.84
Shahbaz Ahmed,KKR,45.17,-3.37,48.54
A Manohar,MI,43.63,43.63,0.0
Abhishek Prabhakar,CSK,42.76,-1.79,44.55
Tejaswi Dahiya,LSG,42.38,42.38,0.0
BJ McMullen,DC,40.59,59.34,-18.75
DW Lawrence,DC,39.11,-2.4,41.51
Manvanth Kumar L,PBKS,37.21,-1.76,38.96
MS Pepper,KKR,36.85,36.85,0.0
Naman Tiwari,CSK,34.40000000000001,-1.78,36.18000000000001
M Markande,LSG,33.67,-1.78,35.44
Prashant Veer,PBKS,32.67,8.17,24.5
LI Meriwala,PBKS,31.4,0.0,31.4
M Siddharth,CSK,30.42,-0.33,30.75
Akshat Raghuwanshi,RCB,30.19,30.19,0.0
SE Rutherford,DC,28.27,28.27,0.0
Sayed Irfan Aftab,PBKS,28.1,0.0,28.1
M Prasidh Krishna,KKR,26.42,-1.74,28.16
L Ngidi,RR,24.6,0.0,24.6
Yashvardhan Dalal,DC,23.65,23.65,0.0
Mohammed Shami,MI,22.69,-1.46,24.15
RK Singh,GT,21.83,21.83,0.0
J Miyaji,RCB,21.61,-1.68,23.29
Naveen-ul-Haq,CSK,20.47,0.0,20.47
Sunny Sandhu,DC,20.01,11.73,8.28
TA Boult,SRH,19.91,-0.79,20.71
RA Jadeja,LSG,18.44,18.44,0.0
KD Karthik,RR,17.96,17.96,0.0
JG Bethell,GT,17.16,22.7,-5.53
Vidyadhar Patil,SRH,16.85,5.98,10.88
TK Curran,GT,15.37,18.33,-2.97
Akshya Deka,RCB,14.52,0.0,14.52
Anmolpreet Singh,RR,13.44,13.44,0.0
Usman Tariq,CSK,13.06,0.27,12.79
Yash Punja,GT,12.73,-1.8,14.53
BA Stokes,RR,12.61,16.22,-3.61
Abdul Samad,SRH,11.51,1.94,9.57
AA Kulkarni,GT,11.49,17.11,-5.62
Harnoor Singh,RCB,11.3,11.3,0.0
LR Chethan,LSG,9.120000000000001,9.120000000000001,0.0
AHT Donald,PBKS,8.82,8.82,0.0
Akhil Scaria,RCB,8.350000000000001,-2.06,10.4
TM Head,CSK,7.58,7.58,0.0
Ankit Kumar,SRH,6.61,6.61,0.0
Sanskar Rawat,PBKS,5.350000000000001,5.350000000000001,0.0
Mayank Rawat,RCB,4.9,5.21,-0.31
Ajay Rohera,LSG,3.28,3.28,0.0
Prashant Solanki,CSK,2.85,0.0,2.85
Sakibul Gani,MI,2.31,2.31,0.0
F du Plessis,CSK,1.31,1.31,0.0
M Pathirana,RCB,0.94,0.0,0.94
M Poiyamozhi,CSK,0.47,0.0,0.47
MS Dhoni,KKR,-0.3600000000000001,-0.3600000000000001,0.0
Jay Bista,KKR,-1.64,-1.64,0.0
Auqib Nabi,GT,-1.73,0.0,-1.73
AM Rahane,CSK,-1.83,-1.83,0.0
Darshan Misal,RCB,-3.51,0.5299999999999998,-4.03
Arshad Khan,MI,-3.88,-1.82,-2.06
R Shepherd,MI,-4.6,-1.24,-3.36
MP Stoinis,DC,-5.31,1.68,-6.98
Abhilash Shetty,CSK,-6.19,-0.65,-5.55
V Puthur,SRH,-6.29,-1.82,-4.47
Jagjit Singh,MI,-6.66,-1.74,-4.92
Aman Bhadoriya,RCB,-7.09,-1.34,-5.75
G Sai Venkata Sumith,RR,-7.63,-1.76,-5.86
Khrievitso Kense,MI,-8.82,-1.76,-7.05
OEG Baartman,GT,-11.19,-0.8,-10.39
