bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Noor Ahmad,MI,8,280,186,6,23,9,44,9,0,9.03,31.0,5.81,23.66,135.2,2-22 (24),0-0-0
Gurnoor Brar,DC,6,218,144,6,20,6,38,3,0,9.08,24.0,5.54,26.39,142.38,2-38 (24),0-0-0
DS Rathi,KKR,5,183,120,6,22,4,37,1,0,9.15,20.0,4.62,30.83,145.03,2-25 (24),0-0-0
Ashwin Das,LSG,6,211,138,6,13,9,32,6,0,9.17,23.0,6.27,23.19,145.16,3-42 (24),1-0-0
HH Pandya,SRH,11,234,150,6,13,10,32,2,0,9.36,25.0,6.52,21.33,142.83,2-3 (12),0-0-0
Mohammad Amir,LSG,5,186,117,6,21,3,27,5,0,9.54,19.5,4.88,23.08,142.62,3-27 (24),1-0-0
GD Phillips,RR,9,197,114,6,21,7,30,2,0,10.37,19.0,4.07,26.32,138.35,1-5 (6),0-0-0
JR Hazlewood,MI,5,208,114,6,24,8,32,1,0,10.95,19.0,3.56,28.07,135.09,2-28 (24),0-0-0
Abhishek Tanwar,MI,3,128,64,6,8,9,18,3,0,12.0,10.67,3.76,28.12,159.37,3-55 (24),1-0-0
Esakkimuthu A,RCB,3,91,72,5,6,2,18,1,0,7.58,14.4,9.0,25.0,167.91,2-27 (24),0-0-0
Atharva Ankolekar,RR,6,156,112,5,12,9,46,0,0,8.36,22.4,5.33,41.07,140.58,2-9 (18),0-0-0
B Muzarabani,GT,3,94,63,5,9,5,27,1,0,8.95,12.6,4.5,42.86,156.82,2-11 (15),0-0-0
Sanvir Singh,PBKS,5,130,84,5,14,3,18,1,0,9.29,16.8,4.94,21.43,135.58,2-23 (18),0-0-0
WG Jacks,LSG,11,376,210,5,40,14,55,2,0,10.74,42.0,3.89,26.19,101.88,3-37 (24),1-0-0
AD Russell,DC,8,333,156,5,51,10,39,2,1,12.81,31.2,2.56,25.0,96.38,2-26 (18),0-0-0
T Natarajan,RR,5,163,113,4,14,4,26,0,0,8.65,28.25,6.28,23.01,118.97,3-31 (23),1-0-0
Sonu Yadav,CSK,5,187,115,4,18,8,30,2,0,9.76,28.75,4.42,26.09,106.89,2-29 (19),0-0-0
Akash Vasisht,DC,6,250,144,4,18,13,30,5,0,10.42,36.0,4.65,20.83,98.23,2-47 (24),0-0-0
LS Livingstone,KKR,6,236,132,4,33,5,39,4,0,10.73,33.0,3.47,29.55,98.8,2-37 (24),0-0-0
A Nagwaswalla,RR,4,180,96,4,18,8,23,0,0,11.25,24.0,3.69,23.96,104.05,3-47 (24),1-0-0
Shivam Shukla,MI,2,95,48,4,12,5,18,2,0,11.88,12.0,2.82,37.5,131.18,3-38 (24),1-0-0
Imran Tahir,RCB,3,82,72,3,4,3,24,1,0,6.83,24.0,10.29,33.33,141.92,2-28 (24),0-0-0
Naman Tiwari,CSK,3,88,66,3,14,0,28,1,0,8.0,22.0,4.71,42.42,118.23,2-16 (18),0-0-0
C Sakariya,RR,1,33,24,3,5,0,7,0,0,8.25,8.0,4.8,29.17,0.0,3-33 (24),1-0-0
Ashwin Shelke,DC,2,60,42,3,5,3,18,1,0,8.57,14.0,5.25,42.86,134.1,2-12 (18),0-0-0
KA Pollard,CSK,3,52,36,3,2,3,10,0,0,8.67,12.0,7.2,27.78,141.37,1-14 (12),0-0-0
MW Short,SRH,7,132,90,3,16,2,28,3,0,8.8,30.0,5.0,31.11,104.2,1-18 (18),0-0-0
DJ Willey,MI,3,106,66,3,14,3,25,4,0,9.64,22.0,3.88,37.88,107.73,2-27 (24),0-0-0
Washington Sundar,GT,3,116,72,3,9,7,24,2,0,9.67,24.0,4.5,33.33,105.42,1-36 (24),0-0-0
Saim Ayub,SRH,2,80,48,3,6,4,15,1,0,10.0,16.0,4.8,31.25,118.0,2-49 (24),0-0-0
Taskin Ahmed,MI,5,201,120,3,25,7,45,5,0,10.05,40.0,3.75,37.5,91.45,1-33 (24),0-0-0
AR Patel,GT,2,88,48,3,9,3,10,1,0,11.0,16.0,4.0,20.83,106.59,2-42 (24),0-0-0
Tripuresh Singh,SRH,2,92,42,3,9,5,8,3,0,13.14,14.0,3.0,19.05,102.5,2-29 (18),0-0-0
V Nigam,GT,9,341,152,3,30,20,23,1,0,13.46,50.67,3.04,15.13,61.58,2-45 (24),0-0-0
SP Narine,PBKS,2,30,24,2,4,0,6,0,0,7.5,12.0,6.0,25.0,0.0,1-11 (12),0-0-0
Ashutosh Sharma,GT,3,79,60,2,7,1,18,2,0,7.9,30.0,7.5,30.0,107.57,1-20 (18),0-0-0
Manvanth Kumar L,PBKS,3,85,60,2,5,2,15,3,0,8.5,30.0,8.57,25.0,109.03,2-11 (18),0-0-0
Shadab Khan,SRH,4,120,80,2,9,4,19,2,0,9.0,40.0,6.15,23.75,89.36,2-45 (20),0-0-0
JM Coles,MI,3,111,72,2,6,3,12,5,0,9.25,36.0,8.0,16.67,96.7,1-29 (24),0-0-0
Ramandeep Singh,KKR,5,87,54,2,5,4,9,0,0,9.67,27.0,6.0,16.67,90.61,1-9 (6),0-0-0
Shubhang Hegde,LSG,2,72,42,2,5,5,16,2,0,10.29,21.0,4.2,38.1,98.64,2-23 (18),0-0-0
M Siddharth,CSK,1,43,24,2,8,0,7,0,0,10.75,12.0,3.0,29.17,0.0,2-43 (24),0-0-0
VR Iyer,SRH,7,87,48,2,11,1,8,5,0,10.88,24.0,4.0,16.67,81.78,1-5 (6),0-0-0
R Parag,GT,8,131,66,2,17,3,11,1,0,11.91,33.0,3.3,16.67,69.3,1-0 (6),0-0-0
JC Archer,LSG,3,129,64,2,13,6,11,1,0,12.09,32.0,3.37,17.19,69.81,1-37 (18),0-0-0
Sayed Irfan Aftab,PBKS,1,50,24,2,1,4,5,1,0,12.5,12.0,4.8,20.83,0.0,2-50 (24),0-0-0
M Prasidh Krishna,KKR,1,3,6,1,0,0,3,0,0,3.0,6.0,inf,50.0,0.0,1-3 (6),0-0-0
Prashant Veer,PBKS,1,8,12,1,1,0,7,0,0,4.0,12.0,12.0,58.33,0.0,1-8 (12),0-0-0
Abhishek Prabhakar,CSK,1,29,24,1,0,2,7,1,0,7.25,24.0,12.0,29.17,0.0,1-29 (24),0-0-0
M Markande,LSG,2,37,30,1,3,0,6,0,0,7.4,30.0,10.0,20.0,103.93,1-12 (12),0-0-0
Naveen-ul-Haq,CSK,1,30,24,1,2,2,11,0,0,7.5,24.0,6.0,45.83,0.0,1-30 (24),0-0-0
LI Meriwala,PBKS,1,31,24,1,0,1,4,0,0,7.75,24.0,24.0,16.67,0.0,1-31 (24),0-0-0
Parvej Musaraf,RCB,1,33,24,1,4,0,5,1,0,8.25,24.0,6.0,20.83,0.0,1-33 (24),0-0-0
Shahbaz Ahmed,KKR,2,67,48,1,4,1,8,1,0,8.38,48.0,9.6,16.67,91.35,1-37 (24),0-0-0
DR Mousley,LSG,11,215,144,1,19,4,30,4,0,8.96,144.0,6.26,20.83,64.18,1-29 (18),0-0-0
Akshya Deka,RCB,1,37,24,1,4,0,7,2,1,9.25,24.0,6.0,29.17,0.0,1-37 (24),0-0-0
Sunny Sandhu,DC,4,94,60,1,8,4,13,0,0,9.4,60.0,5.0,21.67,65.47,1-22 (12),0-0-0
Vidyadhar Patil,SRH,3,114,66,1,12,6,22,1,0,10.36,66.0,3.67,33.33,62.08,1-32 (24),0-0-0
Yash Punja,GT,2,83,48,1,4,4,7,0,1,10.38,48.0,6.0,14.58,68.3,1-42 (24),0-0-0
PHKD Mendis,PBKS,4,96,54,1,9,2,8,4,0,10.67,54.0,4.91,14.81,61.32,1-16 (12),0-0-0
SR Watson,LSG,4,141,78,1,16,3,14,3,0,10.85,78.0,4.11,17.95,53.95,1-37 (24),0-0-0
B Sai Sudharsan,CSK,1,11,6,1,2,0,2,0,0,11.0,6.0,3.0,33.33,0.0,1-11 (6),0-0-0
L Ngidi,RR,2,79,42,1,6,5,12,1,0,11.29,42.0,3.82,28.57,65.5,1-46 (24),0-0-0
MJ Owen,DC,3,71,36,1,8,1,4,0,0,11.83,36.0,4.0,11.11,59.01,1-37 (12),0-0-0
Rishabh Chouhan,GT,1,12,6,1,1,1,2,0,0,12.0,6.0,3.0,33.33,0.0,1-12 (6),0-0-0
Usman Tariq,CSK,3,88,44,1,6,5,8,2,0,12.0,44.0,4.0,18.18,59.1,1-31 (18),0-0-0
Mohammed Shami,MI,2,88,43,1,15,3,16,1,0,12.28,43.0,2.39,37.21,61.3,1-55 (24),0-0-0
Abdul Samad,SRH,2,51,24,1,8,2,8,1,0,12.75,24.0,2.4,33.33,0.0,1-34 (18),0-0-0
DW Lawrence,DC,3,77,36,1,11,2,4,0,0,12.83,36.0,2.77,11.11,50.95,1-9 (6),0-0-0
TA Boult,SRH,1,44,20,1,0,5,6,2,0,13.2,20.0,4.0,30.0,0.0,1-44 (20),0-0-0
Akhil Scaria,RCB,3,97,42,1,11,6,12,1,0,13.86,42.0,2.47,28.57,55.36,1-37 (12),0-0-0
M Shahrukh Khan,MI,2,121,43,1,8,11,8,1,0,16.88,43.0,2.26,18.6,45.01,1-61 (19),0-0-0
J Miyaji,RCB,1,10,24,0,1,0,17,0,0,2.5,inf,24.0,70.83,0.0,0-10 (24),0-0-0
Arshad Khan,MI,1,6,6,0,0,0,1,0,0,6.0,inf,inf,16.67,0.0,0-6 (6),0-0-0
M Pathirana,RCB,1,13,12,0,1,0,2,0,0,6.5,inf,12.0,16.67,0.0,0-13 (12),0-0-0
Prashant Solanki,CSK,1,28,24,0,1,1,5,0,0,7.0,inf,12.0,20.83,0.0,0-28 (24),0-0-0
Khrievitso Kense,MI,1,37,24,0,2,1,4,2,0,9.25,inf,8.0,16.67,0.0,0-37 (24),0-0-0
Darshan Misal,RCB,1,19,12,0,2,0,1,0,0,9.5,inf,6.0,8.33,0.0,0-19 (12),0-0-0
JN Loftie-Eaton,RR,2,57,36,0,8,2,14,0,0,9.5,inf,3.6,38.89,48.86,0-26 (18),0-0-0
M Poiyamozhi,CSK,1,38,24,0,1,1,1,0,0,9.5,inf,12.0,4.17,0.0,0-38 (24),0-0-0
Abhilash Shetty,CSK,1,20,12,0,4,0,6,0,0,10.0,inf,3.0,50.0,0.0,0-20 (12),0-0-0
CH Gayle,RCB,1,10,6,0,0,1,1,0,0,10.0,inf,6.0,16.67,0.0,0-10 (6),0-0-0
Mayank Rawat,RCB,2,60,36,0,3,3,9,2,0,10.0,inf,6.0,25.0,52.75,0-19 (12),0-0-0
AA Kulkarni,GT,3,71,42,0,8,2,12,0,0,10.14,inf,4.2,28.57,45.0,0-3 (6),0-0-0
Auqib Nabi,GT,1,41,24,0,5,1,7,0,0,10.25,inf,4.0,29.17,0.0,0-41 (24),0-0-0
GJ Maxwell,DC,8,268,156,0,22,8,23,6,0,10.31,inf,5.2,14.74,35.04,0-14 (6),0-0-0
R Shepherd,MI,1,31,18,0,3,1,3,0,0,10.33,inf,4.5,16.67,0.0,0-31 (18),0-0-0
BA Stokes,RR,3,94,54,0,8,3,10,1,0,10.44,inf,4.91,18.52,41.74,0-13 (12),0-0-0
Aman Bhadoriya,RCB,1,21,12,0,2,0,0,0,0,10.5,inf,6.0,0.0,0.0,0-21 (12),0-0-0
D Wiese,KKR,7,159,90,0,22,5,28,0,0,10.6,inf,3.33,31.11,36.75,0-9 (12),0-0-0
TK Curran,GT,1,43,24,0,8,0,5,0,0,10.75,inf,3.0,20.83,0.0,0-43 (24),0-0-0
G Sai Venkata Sumith,RR,1,11,6,0,0,1,0,0,0,11.0,inf,6.0,0.0,0.0,0-11 (6),0-0-0
JG Bethell,GT,1,11,6,0,1,0,0,0,0,11.0,inf,6.0,0.0,0.0,0-11 (6),0-0-0
BJ McMullen,DC,4,73,36,0,5,4,5,1,0,12.17,inf,4.0,13.89,33.3,0-11 (6),0-0-0
Jagjit Singh,MI,1,50,24,0,7,1,7,2,0,12.5,inf,3.0,29.17,0.0,0-50 (24),0-0-0
V Puthur,SRH,2,96,46,0,7,5,9,3,0,12.52,inf,3.83,19.57,34.63,0-44 (24),0-0-0
OEG Baartman,GT,2,78,37,0,7,4,5,2,0,12.65,inf,3.36,13.51,29.06,0-35 (13),0-0-0
N Sindhu,DC,2,26,12,0,1,2,1,0,0,13.0,inf,4.0,8.33,0.0,0-11 (6),0-0-0
MP Stoinis,DC,1,15,6,0,3,0,1,1,0,15.0,inf,2.0,16.67,0.0,0-15 (6),0-0-0
Naman Dhir,GT,2,35,12,0,5,1,0,0,0,17.5,inf,2.0,0.0,0.0,0-11 (6),0-0-0
Nithish Kumar Reddy,GT,2,54,18,0,4,4,0,0,0,18.0,inf,2.25,0.0,0.0,0-16 (6),0-0-0
