bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
JR Hazlewood,MI,5,6,114,19.0,7.69
HH Pandya,SRH,14,7,204,29.14,7.45
Shaheen Shah Afridi,DC,6,8,102,12.75,7.34
Ashwin Shelke,DC,5,8,114,14.25,7.34
Ashwin Das,LSG,6,6,138,23.0,7.32
Cheepurapalli Stephen,RR,5,6,108,18.0,7.14
GD Phillips,RR,9,6,114,19.0,7.14
Naman Tiwari,CSK,5,6,114,19.0,6.74
Mangesh Yadav,GT,6,7,132,18.86,6.67
Sanvir Singh,PBKS,7,6,132,22.0,6.25
DS Rathi,KKR,5,6,120,20.0,6.25
WG Jacks,LSG,13,5,228,45.6,6.1
Atharva Ankolekar,RR,6,5,112,22.4,5.95
L Ngidi,RR,3,5,66,13.2,5.95
Gurnoor Brar,DC,6,6,144,24.0,5.5
Tripuresh Singh,SRH,4,5,90,18.0,5.32
Shadab Khan,SRH,5,5,104,20.8,5.32
LS Livingstone,KKR,7,5,156,31.2,5.21
JM Coles,MI,4,4,96,24.0,5.13
Shubhang Hegde,LSG,3,4,66,16.5,4.88
A Nagwaswalla,RR,4,4,96,24.0,4.76
B Muzarabani,GT,3,5,63,12.6,4.76
C Sakariya,RR,2,4,48,12.0,4.76
T Natarajan,RR,5,4,113,28.25,4.76
AD Russell,DC,9,5,162,32.4,4.59
Esakkimuthu A,RCB,3,5,72,14.4,4.46
Saim Ayub,SRH,3,4,66,16.5,4.26
Taskin Ahmed,MI,5,3,120,40.0,3.85
DJ Willey,MI,3,3,66,22.0,3.85
V Nigam,GT,10,4,164,41.0,3.81
Washington Sundar,GT,4,4,96,24.0,3.81
Akash Vasisht,DC,6,4,144,36.0,3.67
JC Archer,LSG,4,3,88,29.33,3.66
KA Pollard,CSK,3,3,36,12.0,3.37
MW Short,SRH,7,3,90,30.0,3.19
M Prasidh Krishna,KKR,2,3,24,8.0,3.12
AR Patel,GT,2,3,48,16.0,2.86
Imran Tahir,RCB,3,3,72,24.0,2.68
M Siddharth,CSK,1,2,24,12.0,2.25
VR Iyer,SRH,8,2,54,27.0,2.13
PHKD Mendis,PBKS,6,2,72,36.0,2.08
Sayed Irfan Aftab,PBKS,1,2,24,12.0,2.08
Ramandeep Singh,KKR,6,2,72,36.0,2.08
SP Narine,PBKS,2,2,24,12.0,2.08
D Wiese,KKR,8,2,114,57.0,2.08
Manvanth Kumar L,PBKS,3,2,60,30.0,2.08
R Parag,GT,8,2,66,33.0,1.9
Ashutosh Sharma,GT,5,2,108,54.0,1.9
Parth Chandan,DC,3,2,72,36.0,1.83
Mohammed Shami,MI,2,1,43,43.0,1.28
M Shahrukh Khan,MI,3,1,50,50.0,1.28
Avesh Khan,LSG,1,1,24,24.0,1.22
SR Watson,LSG,4,1,78,78.0,1.22
M Markande,LSG,2,1,30,30.0,1.22
DR Mousley,LSG,13,1,174,174.0,1.22
JN Loftie-Eaton,RR,4,1,84,84.0,1.19
Usman Tariq,CSK,3,1,44,44.0,1.12
B Sai Sudharsan,CSK,3,1,42,42.0,1.12
Abhishek Prabhakar,CSK,1,1,24,24.0,1.12
Naveen-ul-Haq,CSK,1,1,24,24.0,1.12
TA Boult,SRH,1,1,20,20.0,1.06
Vidyadhar Patil,SRH,4,1,90,90.0,1.06
Abdul Samad,SRH,3,1,36,36.0,1.06
LI Meriwala,PBKS,2,1,42,42.0,1.04
Shahbaz Ahmed,KKR,2,1,48,48.0,1.04
Prashant Veer,PBKS,1,1,12,12.0,1.04
Yash Punja,GT,2,1,48,48.0,0.95
Rishabh Chouhan,GT,1,1,6,6.0,0.95
Sunny Sandhu,DC,4,1,60,60.0,0.92
DW Lawrence,DC,3,1,36,36.0,0.92
MJ Owen,DC,3,1,36,36.0,0.92
Akhil Scaria,RCB,3,1,42,42.0,0.89
J Miyaji,RCB,2,1,48,48.0,0.89
M Pathirana,RCB,2,1,36,36.0,0.89
Akshya Deka,RCB,1,1,24,24.0,0.89
Parvej Musaraf,RCB,1,1,24,24.0,0.89
CH Gayle,RCB,2,1,18,18.0,0.89
