striker,venue,runs,balls,outs,avg,SR,Curr_Tm
N Pooran,CSK,141,81,5,28.2,174.07,MI
N Sindhu,SRH,141,66,3,47.0,213.64,DC
GD Phillips,GT,141,83,6,23.5,169.88,GT
GJ Maxwell,SRH,140,88,4,35.0,159.09,RR
Dhruv Jurel,RCB,139,83,5,27.8,167.47,RCB
V Kohli,MI,138,87,4,34.5,158.62,DC
FH Allen,SRH,138,77,3,46.0,179.22,PBKS
Tarang Gohel,DC,137,78,3,45.67,175.64,DC
PD Salt,PBKS,137,75,4,34.25,182.67,RCB
S Dube,PBKS,136,83,4,34.0,163.86,RR
Shashank Singh,RR,136,79,2,68.0,172.15,PBKS
Rahul Singh,RCB,135,86,5,27.0,156.98,RCB
Abhishek Sharma,PBKS,135,85,3,45.0,158.82,MI
Abhishek Sharma,LSG,135,83,2,67.5,162.65,MI
T Stubbs,DC,135,85,2,67.5,158.82,CSK
R Ashwin,KKR,133,101,6,22.17,131.68,
Jay Gohil,MI,133,72,2,66.5,184.72,LSG
SA Yadav,LSG,132,85,4,33.0,155.29,DC
VR Iyer,RR,132,73,0,,180.82,SRH
RD Gaikwad,LSG,131,82,2,65.5,159.76,GT
KD Karthik,MI,131,91,5,26.2,143.96,RCB
P Simran Singh,PBKS,130,116,5,26.0,112.07,SRH
V Suryavanshi,LSG,130,69,3,43.33,188.41,PBKS
Azmatullah Omarzai,RR,130,77,3,43.33,168.83,
SV Samson,SRH,128,67,3,42.67,191.04,GT
Tilak Varma,PBKS,128,81,4,32.0,158.02,CSK
SM Curran,KKR,128,105,8,16.0,121.9,
AM Rahane,DC,127,83,2,63.5,153.01,MI
Ishaan Gadekar,RCB,127,80,3,42.33,158.75,RCB
Abishek Porel,MI,127,69,4,31.75,184.06,DC
GJ Maxwell,RCB,126,85,2,63.0,148.24,RR
JC Buttler,SRH,124,59,2,62.0,210.17,LSG
WG Jacks,DC,124,78,1,124.0,158.97,LSG
A Badoni,RCB,124,98,7,17.71,126.53,
JM Sharma,SRH,123,66,3,41.0,186.36,RCB
Abishek Porel,KKR,123,81,2,61.5,151.85,DC
SV Samson,KKR,123,83,2,61.5,148.19,GT
V Kohli,SRH,122,80,5,24.4,152.5,DC
Smaran Ravichandran,RCB,121,80,3,40.33,151.25,PBKS
RR Rossouw,CSK,120,69,1,120.0,173.91,SRH
Rahul Singh,MI,119,71,4,29.75,167.61,RCB
Abhishek Sharma,GT,119,72,3,39.67,165.28,MI
P Simran Singh,RCB,119,76,1,119.0,156.58,SRH
PD Salt,LSG,119,75,4,29.75,158.67,RCB
KL Rahul,DC,119,75,2,59.5,158.67,SRH
AM Rahane,RCB,119,84,3,39.67,141.67,MI
RM Patidar,GT,118,65,4,29.5,181.54,KKR
Shashank Singh,MI,118,51,2,59.0,231.37,PBKS
KA Pollard,DC,118,85,2,59.0,138.82,CSK
Shashank Singh,GT,118,70,1,118.0,168.57,PBKS
H Klaasen,SRH,118,75,1,118.0,157.33,CSK
Rashid Khan,GT,117,89,5,23.4,131.46,GT
LS Livingstone,PBKS,117,87,4,29.25,134.48,RCB
FH Allen,PBKS,117,66,3,39.0,177.27,PBKS
Urvil Patel,LSG,116,82,0,,141.46,DC
JC Buttler,RR,114,56,4,28.5,203.57,LSG
Abhishek Sharma,CSK,113,60,4,28.25,188.33,MI
JC Buttler,RCB,113,61,3,37.67,185.25,LSG
AM Rahane,RR,113,81,3,37.67,139.51,MI
RA Jadeja,RCB,112,74,4,28.0,151.35,RCB
YBK Jaiswal,GT,112,59,3,37.33,189.83,RR
AM Rahane,CSK,112,74,4,28.0,151.35,MI
Q de Kock,MI,112,82,4,28.0,136.59,KKR
T Stubbs,GT,111,67,1,111.0,165.67,CSK
SO Hetmyer,RCB,110,87,6,18.33,126.44,
Dhruv Jurel,GT,110,70,2,55.0,157.14,RCB
SS Iyer,CSK,110,75,3,36.67,146.67,LSG
MP Stoinis,KKR,109,63,2,54.5,173.02,
Abhishek Sharma,SRH,109,66,3,36.33,165.15,MI
SP Narine,RR,108,78,3,36.0,138.46,KKR
N Rana,CSK,108,53,3,36.0,203.77,PBKS
P Simran Singh,GT,108,63,3,36.0,171.43,SRH
H Klaasen,CSK,107,70,4,26.75,152.86,CSK
Dhruv Jurel,SRH,107,74,3,35.67,144.59,RCB
YBK Jaiswal,MI,107,54,4,26.75,198.15,RR
SA Yadav,MI,107,61,3,35.67,175.41,DC
TM Head,SRH,107,68,3,35.67,157.35,MI
Yuvraj Chaudhary,RCB,107,77,5,21.4,138.96,RCB
Tarang Gohel,GT,107,53,1,107.0,201.89,DC
RD Rickelton,PBKS,106,74,5,21.2,143.24,LSG
S Dube,KKR,105,70,2,52.5,150.0,RR
V Kohli,RCB,105,64,3,35.0,164.06,DC
MP Stoinis,MI,105,64,3,35.0,164.06,
S Dube,GT,104,62,3,34.67,167.74,RR
PP Shaw,SRH,104,67,4,26.0,155.22,RCB
DP Conway,PBKS,104,71,4,26.0,146.48,PBKS
AM Rahane,SRH,103,68,2,51.5,151.47,MI
BA Stokes,RR,103,58,2,51.5,177.59,LSG
FH Allen,KKR,103,73,2,51.5,141.1,PBKS
V Suryavanshi,SRH,102,58,2,51.0,175.86,PBKS
Sameer Rizvi,KKR,102,49,1,102.0,208.16,LSG
Q de Kock,CSK,102,63,2,51.0,161.9,KKR
B Sai Sudharsan,DC,102,64,3,34.0,159.38,CSK
DAJ Bracewell,MI,101,60,5,20.2,168.33,RCB
RD Rickelton,DC,101,39,2,50.5,258.97,LSG
V Kohli,PBKS,100,73,3,33.33,136.99,DC
HC Brook,MI,100,66,1,100.0,151.52,MI
WG Jacks,CSK,99,48,1,99.0,206.25,LSG
RD Rickelton,KKR,99,69,3,33.0,143.48,LSG
Aniket Verma,SRH,99,47,1,99.0,210.64,RR
SA Yadav,KKR,99,69,4,24.75,143.48,DC
KA Pollard,KKR,98,65,2,49.0,150.77,CSK
Tilak Varma,RR,98,57,1,98.0,171.93,CSK
FH Allen,DC,98,45,2,49.0,217.78,PBKS
S Dube,DC,98,54,1,98.0,181.48,RR
N Wadhera,LSG,98,71,1,98.0,138.03,KKR
SP Narine,SRH,98,45,1,98.0,217.78,KKR
PP Shaw,CSK,98,69,3,32.67,142.03,RCB
DP Conway,RCB,97,57,3,32.33,170.18,PBKS
KL Rahul,LSG,97,52,2,48.5,186.54,SRH
Q de Kock,RCB,96,57,3,32.0,168.42,KKR
Nithish Kumar Reddy,RCB,96,63,2,48.0,152.38,SRH
Shubman Gill,PBKS,95,59,2,47.5,161.02,LSG
HH Pandya,RR,95,66,5,19.0,143.94,MI
PP Shaw,RR,94,65,4,23.5,144.62,RCB
Smaran Ravichandran,CSK,94,56,2,47.0,167.86,PBKS
PP Shaw,RCB,94,63,5,18.8,149.21,RCB
GJ Maxwell,MI,94,47,4,23.5,200.0,RR
SV Samson,RCB,93,66,2,46.5,140.91,GT
Abishek Porel,SRH,93,53,2,46.5,175.47,DC
N Sindhu,LSG,93,56,3,31.0,166.07,DC
AM Rahane,LSG,93,52,3,31.0,178.85,MI
N Wadhera,CSK,93,53,2,46.5,175.47,KKR
Ramandeep Singh,RCB,92,62,6,15.33,148.39,LSG
Naman Dhir,CSK,92,49,3,30.67,187.76,GT
Washington Sundar,RCB,92,52,0,,176.92,PBKS
AR Patel,MI,92,55,1,92.0,167.27,CSK
JC Buttler,MI,92,66,2,46.0,139.39,LSG
SA Yadav,CSK,92,56,2,46.0,164.29,DC
FH Allen,MI,91,58,5,18.2,156.9,PBKS
PP Shaw,PBKS,91,70,2,45.5,130.0,RCB
H Klaasen,GT,91,57,1,91.0,159.65,CSK
Ishan Kishan,CSK,90,62,3,30.0,145.16,MI
WL Madsen,PBKS,90,57,1,90.0,157.89,MI
KL Rahul,RCB,90,50,2,45.0,180.0,SRH
F du Plessis,PBKS,90,74,3,30.0,121.62,
S Dube,CSK,90,66,2,45.0,136.36,RR
T Stubbs,SRH,90,62,6,15.0,145.16,CSK
JM Sharma,LSG,90,58,2,45.0,155.17,RCB
C Green,RR,90,47,2,45.0,191.49,KKR
DP Conway,DC,89,58,3,29.67,153.45,PBKS
N Rana,LSG,89,40,2,44.5,222.5,PBKS
Naman Dhir,LSG,89,53,1,89.0,167.92,GT
N Rana,RCB,88,39,1,88.0,225.64,PBKS
RR Pant,KKR,88,65,2,44.0,135.38,GT
N Sindhu,MI,87,57,3,29.0,152.63,DC
N Rana,RR,87,47,4,21.75,185.11,PBKS
SA Yadav,RR,87,40,2,43.5,217.5,DC
B Sai Sudharsan,SRH,87,59,4,21.75,147.46,CSK
TM Head,KKR,87,53,4,21.75,164.15,MI
N Pooran,GT,86,52,2,43.0,165.38,MI
Shubman Gill,KKR,86,64,4,21.5,134.38,LSG
GJ Maxwell,LSG,86,61,2,43.0,140.98,RR
H Klaasen,RR,86,59,2,43.0,145.76,CSK
Harpreet Brar,RCB,86,73,4,21.5,117.81,PBKS
HS Desai,PBKS,85,63,3,28.33,134.92,PBKS
JP Inglis,PBKS,85,58,2,42.5,146.55,GT
N Rana,MI,85,42,1,85.0,202.38,PBKS
SS Iyer,MI,85,58,2,42.5,146.55,LSG
BJ McMullen,RCB,85,53,2,42.5,160.38,RR
RR Pant,RCB,85,61,3,28.33,139.34,GT
JR Hazlewood,RR,84,64,5,16.8,131.25,RR
Arshad Khan,RR,84,35,1,84.0,240.0,RR
JM Bairstow,DC,84,58,3,28.0,144.83,
RM Patidar,RCB,83,45,1,83.0,184.44,KKR
N Pooran,DC,83,60,3,27.67,138.33,MI
AK Markram,DC,83,43,3,27.67,193.02,DC
SS Iyer,KKR,82,57,3,27.33,143.86,LSG
V Suryavanshi,KKR,82,44,2,41.0,186.36,PBKS
Naman Dhir,MI,82,50,3,27.33,164.0,GT
YBK Jaiswal,SRH,82,44,3,27.33,186.36,RR
Naman Dhir,RCB,81,48,3,27.0,168.75,GT
Dhruv Jurel,KKR,81,59,3,27.0,137.29,RCB
A Raghuvanshi,KKR,81,65,8,10.12,124.62,KKR
Atharva Taide,MI,81,51,2,40.5,158.82,MI
Smaran Ravichandran,DC,80,54,1,80.0,148.15,PBKS
Shakib Al Hasan,PBKS,80,88,8,10.0,90.91,PBKS
Ashutosh Sharma,CSK,80,39,1,80.0,205.13,RCB
P Simran Singh,KKR,80,45,3,26.67,177.78,SRH
Shashank Singh,RCB,79,45,3,26.33,175.56,PBKS
Sameer Rizvi,RCB,79,35,2,39.5,225.71,LSG
JP Inglis,SRH,79,42,2,39.5,188.1,GT
Salman Nizar,PBKS,78,51,1,78.0,152.94,RR
KL Rahul,RR,78,57,4,19.5,136.84,SRH
CH Gayle,SRH,78,53,1,78.0,147.17,CSK
RD Rickelton,CSK,78,54,5,15.6,144.44,LSG
Nithish Kumar Reddy,RR,77,46,2,38.5,167.39,SRH
WL Madsen,SRH,77,53,2,38.5,145.28,MI
N Pooran,KKR,77,69,1,77.0,111.59,MI
RA Tripathi,KKR,77,52,3,25.67,148.08,KKR
N Sindhu,KKR,77,37,3,25.67,208.11,DC
CH Gayle,KKR,77,51,1,77.0,150.98,CSK
HV Patel,PBKS,77,50,5,15.4,154.0,RR
BA Stokes,GT,76,43,2,38.0,176.74,LSG
V Kohli,GT,76,53,3,25.33,143.4,DC
Suryansh Shedge,CSK,76,62,11,6.91,122.58,CSK
Tilak Varma,MI,76,38,3,25.33,200.0,CSK
H Klaasen,KKR,76,47,3,25.33,161.7,CSK
Chirag Jani,GT,75,41,1,75.0,182.93,PBKS
Utkarsh Singh,PBKS,75,55,3,25.0,136.36,PBKS
N Rana,PBKS,75,55,5,15.0,136.36,PBKS
SS Iyer,RR,75,49,4,18.75,153.06,LSG
Ramandeep Singh,LSG,75,50,3,25.0,150.0,LSG
AK Markram,RR,75,65,2,37.5,115.38,DC
RA Tripathi,RR,75,55,3,25.0,136.36,KKR
Smaran Ravichandran,KKR,74,48,2,37.0,154.17,PBKS
TM Head,DC,73,50,3,24.33,146.0,MI
P Simran Singh,MI,73,54,2,36.5,135.19,SRH
T Stubbs,RR,73,50,1,73.0,146.0,CSK
JP Inglis,DC,73,44,3,24.33,165.91,GT
RK Singh,DC,73,45,1,73.0,162.22,MI
DP Conway,SRH,72,46,0,,156.52,PBKS
FH Allen,RCB,72,45,3,24.0,160.0,PBKS
LS Livingstone,RCB,72,58,3,24.0,124.14,RCB
FH Allen,GT,72,55,3,24.0,130.91,PBKS
YBK Jaiswal,LSG,72,45,2,36.0,160.0,RR
C Green,MI,71,39,0,,182.05,KKR
N Sindhu,GT,71,43,2,35.5,165.12,DC
JM Sharma,KKR,70,43,1,70.0,162.79,RCB
R Parag,KKR,70,61,3,23.33,114.75,GT
MP Stoinis,RCB,70,40,3,23.33,175.0,
J Fraser-McGurk,CSK,70,48,3,23.33,145.83,KKR
Q de Kock,SRH,70,30,1,70.0,233.33,KKR
LS Livingstone,LSG,69,45,2,34.5,153.33,RCB
N Sindhu,PBKS,69,37,3,23.0,186.49,DC
Ishan Kishan,RR,69,51,3,23.0,135.29,MI
AK Markram,GT,69,50,2,34.5,138.0,DC
YBK Jaiswal,KKR,69,39,2,34.5,176.92,RR
Abishek Porel,RR,68,31,2,34.0,219.35,DC
Tilak Varma,LSG,68,47,2,34.0,144.68,CSK
AR Patel,KKR,68,51,2,34.0,133.33,CSK
Rahul Singh,CSK,68,31,1,68.0,219.35,RCB
AB de Villiers,SRH,68,51,1,68.0,133.33,RR
JP Inglis,CSK,68,52,2,34.0,130.77,GT
D Brevis,PBKS,68,59,4,17.0,115.25,RR
Shahbaz Ahmed,SRH,68,47,2,34.0,144.68,GT
Ashutosh Sharma,SRH,68,60,4,17.0,113.33,RCB
R Parag,CSK,67,46,4,16.75,145.65,GT
JM Sharma,DC,67,35,0,,191.43,RCB
Sikandar Raza,PBKS,67,43,1,67.0,155.81,MI
BJ McMullen,SRH,67,57,3,22.33,117.54,RR
HC Brook,DC,67,39,1,67.0,171.79,MI
R Parag,RR,67,35,3,22.33,191.43,GT
WG Jacks,RR,67,48,3,22.33,139.58,LSG
BM Duckett,MI,66,45,2,33.0,146.67,PBKS
Nithish Kumar Reddy,MI,66,62,3,22.0,106.45,SRH
LG Pretorius,GT,66,46,3,22.0,143.48,RR
Washington Sundar,MI,66,46,2,33.0,143.48,PBKS
Sameer Rizvi,PBKS,66,41,2,33.0,160.98,LSG
Shubman Gill,CSK,65,44,3,21.67,147.73,LSG
RD Gaikwad,KKR,65,37,3,21.67,175.68,GT
Q de Kock,LSG,65,49,3,21.67,132.65,KKR
SS Iyer,SRH,65,58,4,16.25,112.07,LSG
Smaran Ravichandran,LSG,65,52,3,21.67,125.0,PBKS
Tilak Varma,GT,65,48,4,16.25,135.42,CSK
Bilal Zalmai,MI,65,41,1,65.0,158.54,MI
Naman Dhir,PBKS,65,38,3,21.67,171.05,GT
WG Jacks,SRH,65,42,5,13.0,154.76,LSG
N Pooran,LSG,64,40,1,64.0,160.0,MI
D Padikkal,SRH,64,40,1,64.0,160.0,KKR
BA Stokes,CSK,64,53,2,32.0,120.75,LSG
Aniket Verma,CSK,64,49,2,32.0,130.61,RR
N Sindhu,RCB,64,43,2,32.0,148.84,DC
R Parag,SRH,63,30,2,31.5,210.0,GT
SP Narine,CSK,63,38,1,63.0,165.79,KKR
DJ Hooda,DC,63,39,1,63.0,161.54,LSG
AK Markram,KKR,63,37,2,31.5,170.27,DC
RG Sharma,LSG,63,40,3,21.0,157.5,KKR
MA Starc,KKR,63,65,7,9.0,96.92,KKR
Washington Sundar,LSG,63,50,1,63.0,126.0,PBKS
MG Bracewell,DC,62,44,3,20.67,140.91,
Ishan Kishan,DC,62,53,3,20.67,116.98,MI
Shashank Singh,DC,62,37,1,62.0,167.57,PBKS
F du Plessis,MI,62,44,2,31.0,140.91,
DJ Hooda,CSK,61,39,2,30.5,156.41,LSG
Ishan Kishan,SRH,61,41,2,30.5,148.78,MI
JM Sharma,PBKS,61,32,1,61.0,190.62,RCB
Abishek Porel,RCB,61,40,3,20.33,152.5,DC
JP Inglis,LSG,61,46,2,30.5,132.61,GT
JM Vince,CSK,61,37,1,61.0,164.86,RCB
AD Russell,PBKS,60,32,0,,187.5,DC
Ishan Kishan,RCB,60,41,4,15.0,146.34,MI
RG Sharma,RR,60,35,3,20.0,171.43,KKR
Priyansh Arya,CSK,60,35,2,30.0,171.43,SRH
RA Jadeja,DC,60,38,3,20.0,157.89,RCB
BJ McMullen,MI,60,44,2,30.0,136.36,RR
D Padikkal,KKR,59,45,2,29.5,131.11,KKR
BJ McMullen,LSG,59,44,3,19.67,134.09,RR
RR Rossouw,SRH,59,27,2,29.5,218.52,SRH
HH Pandya,GT,59,28,1,59.0,210.71,MI
Urvil Patel,RCB,58,37,3,19.33,156.76,DC
RK Singh,PBKS,58,44,2,29.0,131.82,MI
Washington Sundar,CSK,58,38,3,19.33,152.63,PBKS
RD Gaikwad,DC,58,36,3,19.33,161.11,GT
KK Nair,RR,58,39,2,29.0,148.72,GT
Anmolpreet Singh,KKR,58,33,0,,175.76,CSK
MS Dhoni,CSK,58,45,4,14.5,128.89,KKR
SV Samson,PBKS,58,40,4,14.5,145.0,GT
VR Iyer,KKR,57,34,3,19.0,167.65,SRH
