striker,venue,runs,balls,outs,avg,SR,Curr_Tm
AM Rahane,MI,282,197,11,25.64,143.15,MI
SP Narine,KKR,281,207,8,35.12,135.75,KKR
V Kohli,KKR,281,167,3,93.67,168.26,DC
RD Gaikwad,RR,278,173,4,69.5,160.69,GT
Nithish Kumar Reddy,GT,274,159,8,34.25,172.33,SRH
JC Buttler,LSG,272,167,10,27.2,162.87,LSG
Anmolpreet Singh,CSK,268,181,10,26.8,148.07,CSK
AR Patel,CSK,264,223,16,16.5,118.39,CSK
BJ McMullen,DC,264,134,6,44.0,197.01,RR
DJ Hooda,GT,257,183,9,28.56,140.44,LSG
C Green,KKR,250,145,8,31.25,172.41,KKR
GJ Maxwell,CSK,250,143,5,50.0,174.83,RR
P Simran Singh,RR,248,132,3,82.67,187.88,SRH
PD Salt,RR,246,152,5,49.2,161.84,RCB
JM Bairstow,KKR,242,168,6,40.33,144.05,
N Pooran,RCB,240,144,2,120.0,166.67,MI
Sikandar Raza,DC,238,175,5,47.6,136.0,MI
Shubman Gill,SRH,235,162,3,78.33,145.06,LSG
R Powell,KKR,235,130,7,33.57,180.77,KKR
PD Salt,SRH,233,134,5,46.6,173.88,RCB
MP Stoinis,PBKS,229,192,12,19.08,119.27,
Ashutosh Sharma,RCB,228,160,12,19.0,142.5,RCB
RM Patidar,CSK,222,163,10,22.2,136.2,KKR
RD Rickelton,GT,219,143,2,109.5,153.15,LSG
TM Head,RCB,219,135,3,73.0,162.22,MI
GJ Maxwell,PBKS,217,135,5,43.4,160.74,RR
Shubman Gill,MI,215,118,4,53.75,182.2,LSG
B Sai Sudharsan,CSK,212,172,11,19.27,123.26,CSK
RR Pant,PBKS,208,123,8,26.0,169.11,GT
Abhishek Sharma,RR,206,108,6,34.33,190.74,MI
N Sindhu,RR,206,92,0,,223.91,DC
MJ Owen,DC,205,125,6,34.17,164.0,DC
SA Yadav,GT,204,86,2,102.0,237.21,DC
Urvil Patel,SRH,202,145,4,50.5,139.31,DC
B Sai Sudharsan,RR,201,129,5,40.2,155.81,CSK
Q de Kock,KKR,200,158,7,28.57,126.58,KKR
KL Rahul,CSK,199,131,4,49.75,151.91,SRH
Abhishek Sharma,DC,199,109,3,66.33,182.57,MI
LS Livingstone,CSK,197,128,4,49.25,153.91,RCB
WG Jacks,MI,195,109,3,65.0,178.9,LSG
RD Rickelton,LSG,194,112,7,27.71,173.21,LSG
Abdul Samad,LSG,194,126,7,27.71,153.97,LSG
SV Samson,LSG,193,120,3,64.33,160.83,GT
Naman Dhir,RR,193,118,4,48.25,163.56,GT
MK Lomror,SRH,190,130,6,31.67,146.15,SRH
SA Yadav,RCB,190,104,3,63.33,182.69,DC
TM Head,GT,189,129,2,94.5,146.51,MI
SA Yadav,PBKS,188,119,2,94.0,157.98,DC
Abhishek Sharma,RCB,186,107,3,62.0,173.83,MI
DA Miller,RR,186,133,8,23.25,139.85,
Rahul Singh,RCB,184,126,6,30.67,146.03,RCB
Tilak Varma,DC,183,114,2,91.5,160.53,CSK
RD Gaikwad,LSG,182,108,2,91.0,168.52,GT
PHKD Mendis,KKR,182,108,2,91.0,168.52,SRH
JP Inglis,MI,181,105,1,181.0,172.38,GT
N Pooran,SRH,181,115,2,90.5,157.39,MI
Tilak Varma,SRH,180,121,3,60.0,148.76,CSK
Tilak Varma,KKR,180,108,2,90.0,166.67,CSK
VR Iyer,CSK,179,121,2,89.5,147.93,SRH
PHKD Mendis,SRH,179,100,5,35.8,179.0,SRH
GJ Maxwell,DC,178,97,2,89.0,183.51,RR
Naman Dhir,DC,178,105,2,89.0,169.52,GT
P Simran Singh,DC,178,114,4,44.5,156.14,SRH
Ishan Kishan,GT,178,101,2,89.0,176.24,MI
WL Madsen,RR,175,111,1,175.0,157.66,MI
N Pooran,RR,175,118,6,29.17,148.31,MI
R Parag,MI,175,123,2,87.5,142.28,GT
PP Shaw,DC,175,116,2,87.5,150.86,RCB
S Dube,MI,174,115,2,87.0,151.3,RR
RG Sharma,RCB,171,98,1,171.0,174.49,KKR
RM Patidar,KKR,171,130,10,17.1,131.54,KKR
Shubman Gill,RR,170,105,3,56.67,161.9,LSG
KL Rahul,PBKS,170,111,3,56.67,153.15,SRH
Atharva Taide,RR,168,103,4,42.0,163.11,MI
Nithish Kumar Reddy,SRH,166,84,5,33.2,197.62,SRH
SV Samson,RR,166,114,4,41.5,145.61,GT
FH Allen,PBKS,166,97,4,41.5,171.13,PBKS
N Wadhera,KKR,166,147,8,20.75,112.93,KKR
YBK Jaiswal,CSK,165,87,2,82.5,189.66,RR
PD Salt,MI,164,101,2,82.0,162.38,RCB
B Sai Sudharsan,LSG,163,84,2,81.5,194.05,CSK
SA Yadav,SRH,161,100,5,32.2,161.0,DC
RD Gaikwad,PBKS,160,96,4,40.0,166.67,GT
Ishan Kishan,LSG,160,94,3,53.33,170.21,MI
S Dube,SRH,160,87,3,53.33,183.91,RR
Priyansh Arya,PBKS,160,95,4,40.0,168.42,SRH
Priyansh Arya,LSG,159,93,3,53.0,170.97,SRH
Dhruv Jurel,RCB,159,96,6,26.5,165.62,RCB
BA Stokes,LSG,159,124,9,17.67,128.23,LSG
JP Inglis,RR,157,67,3,52.33,234.33,GT
V Kohli,LSG,157,94,4,39.25,167.02,DC
V Kohli,CSK,156,100,3,52.0,156.0,DC
VR Iyer,PBKS,156,95,0,,164.21,SRH
Washington Sundar,PBKS,155,132,15,10.33,117.42,PBKS
YBK Jaiswal,PBKS,155,83,2,77.5,186.75,RR
MK Pandey,KKR,154,126,7,22.0,122.22,
Priyansh Arya,RR,154,75,3,51.33,205.33,SRH
Shubman Gill,DC,153,102,1,153.0,150.0,LSG
BM Duckett,PBKS,153,114,6,25.5,134.21,PBKS
DP Conway,LSG,153,88,3,51.0,173.86,PBKS
J Fraser-McGurk,RCB,153,101,5,30.6,151.49,KKR
MP Stoinis,LSG,152,93,2,76.0,163.44,
SS Iyer,GT,152,87,2,76.0,174.71,LSG
J Fraser-McGurk,KKR,150,83,3,50.0,180.72,KKR
GJ Maxwell,GT,150,88,3,50.0,170.45,RR
PD Salt,GT,148,88,3,49.33,168.18,RCB
Tilak Varma,RCB,148,85,3,49.33,174.12,CSK
GJ Maxwell,KKR,147,90,2,73.5,163.33,RR
RD Gaikwad,SRH,146,100,4,36.5,146.0,GT
SV Samson,CSK,146,112,4,36.5,130.36,GT
H Klaasen,DC,143,91,1,143.0,157.14,CSK
JM Sharma,RR,142,68,7,20.29,208.82,RCB
Abhishek Sharma,KKR,142,65,2,71.0,218.46,MI
LS Livingstone,DC,142,97,3,47.33,146.39,RCB
JG Bethell,SRH,142,112,7,20.29,126.79,SRH
Priyansh Arya,DC,141,87,2,70.5,162.07,SRH
N Sindhu,SRH,141,66,3,47.0,213.64,DC
GD Phillips,GT,141,83,6,23.5,169.88,GT
N Pooran,CSK,141,81,5,28.2,174.07,MI
GJ Maxwell,SRH,140,88,4,35.0,159.09,RR
FH Allen,SRH,138,77,3,46.0,179.22,PBKS
Ishaan Gadekar,RCB,138,86,4,34.5,160.47,RCB
V Kohli,MI,138,87,4,34.5,158.62,DC
PD Salt,PBKS,137,75,4,34.25,182.67,RCB
Tarang Gohel,DC,137,78,3,45.67,175.64,DC
S Dube,PBKS,136,83,4,34.0,163.86,RR
Shashank Singh,RR,136,79,2,68.0,172.15,PBKS
Abhishek Sharma,PBKS,135,85,3,45.0,158.82,MI
T Stubbs,DC,135,85,2,67.5,158.82,CSK
Abhishek Sharma,LSG,135,83,2,67.5,162.65,MI
Jay Gohil,MI,133,72,2,66.5,184.72,LSG
R Ashwin,KKR,133,101,6,22.17,131.68,
SA Yadav,LSG,132,85,4,33.0,155.29,DC
VR Iyer,RR,132,73,0,,180.82,SRH
KD Karthik,MI,131,91,5,26.2,143.96,RCB
Azmatullah Omarzai,RR,130,77,3,43.33,168.83,
P Simran Singh,PBKS,130,116,5,26.0,112.07,SRH
V Suryavanshi,LSG,130,69,3,43.33,188.41,PBKS
Tilak Varma,PBKS,128,81,4,32.0,158.02,CSK
SV Samson,SRH,128,67,3,42.67,191.04,GT
JP Inglis,LSG,128,82,3,42.67,156.1,GT
SM Curran,KKR,128,105,8,16.0,121.9,
AM Rahane,DC,127,83,2,63.5,153.01,MI
Abishek Porel,MI,127,69,4,31.75,184.06,DC
GJ Maxwell,RCB,126,85,2,63.0,148.24,RR
WG Jacks,DC,124,78,1,124.0,158.97,LSG
JC Buttler,SRH,124,59,2,62.0,210.17,LSG
A Badoni,RCB,124,98,7,17.71,126.53,
Abishek Porel,KKR,123,81,2,61.5,151.85,DC
JM Sharma,SRH,123,66,3,41.0,186.36,RCB
SV Samson,KKR,123,83,2,61.5,148.19,GT
RA Jadeja,RCB,122,84,4,30.5,145.24,RCB
V Kohli,SRH,122,80,5,24.4,152.5,DC
Smaran Ravichandran,RCB,121,80,3,40.33,151.25,PBKS
RR Rossouw,CSK,120,69,1,120.0,173.91,SRH
PD Salt,LSG,119,75,4,29.75,158.67,RCB
KL Rahul,DC,119,75,2,59.5,158.67,SRH
AM Rahane,RCB,119,84,3,39.67,141.67,MI
Abhishek Sharma,GT,119,72,3,39.67,165.28,MI
P Simran Singh,RCB,119,76,1,119.0,156.58,SRH
Rahul Singh,MI,119,71,4,29.75,167.61,RCB
RM Patidar,GT,118,65,4,29.5,181.54,KKR
H Klaasen,SRH,118,75,1,118.0,157.33,CSK
Shashank Singh,MI,118,51,2,59.0,231.37,PBKS
Shashank Singh,GT,118,70,1,118.0,168.57,PBKS
KA Pollard,DC,118,85,2,59.0,138.82,CSK
Rashid Khan,GT,117,89,5,23.4,131.46,GT
LS Livingstone,PBKS,117,87,4,29.25,134.48,RCB
Urvil Patel,LSG,116,82,0,,141.46,DC
JC Buttler,RR,114,56,4,28.5,203.57,LSG
AM Rahane,RR,113,81,3,37.67,139.51,MI
Abhishek Sharma,CSK,113,60,4,28.25,188.33,MI
JC Buttler,RCB,113,61,3,37.67,185.25,LSG
YBK Jaiswal,GT,112,59,3,37.33,189.83,RR
AM Rahane,CSK,112,74,4,28.0,151.35,MI
Q de Kock,MI,112,82,4,28.0,136.59,KKR
T Stubbs,GT,111,67,1,111.0,165.67,CSK
Dhruv Jurel,GT,110,70,2,55.0,157.14,RCB
SO Hetmyer,RCB,110,87,6,18.33,126.44,
SS Iyer,CSK,110,75,3,36.67,146.67,LSG
Abhishek Sharma,SRH,109,66,3,36.33,165.15,MI
MP Stoinis,KKR,109,63,2,54.5,173.02,
N Rana,CSK,108,53,3,36.0,203.77,PBKS
SP Narine,RR,108,78,3,36.0,138.46,KKR
P Simran Singh,GT,108,63,3,36.0,171.43,SRH
TM Head,SRH,107,68,3,35.67,157.35,MI
SA Yadav,MI,107,61,3,35.67,175.41,DC
Tarang Gohel,GT,107,53,1,107.0,201.89,DC
Yuvraj Chaudhary,RCB,107,77,5,21.4,138.96,RCB
Dhruv Jurel,SRH,107,74,3,35.67,144.59,RCB
YBK Jaiswal,MI,107,54,4,26.75,198.15,RR
H Klaasen,CSK,107,70,4,26.75,152.86,CSK
RD Rickelton,PBKS,106,74,5,21.2,143.24,LSG
S Dube,KKR,105,70,2,52.5,150.0,RR
MP Stoinis,MI,105,64,3,35.0,164.06,
V Kohli,RCB,105,64,3,35.0,164.06,DC
PP Shaw,SRH,104,67,4,26.0,155.22,RCB
S Dube,GT,104,62,3,34.67,167.74,RR
MR Marsh,SRH,104,57,3,34.67,182.46,SRH
DP Conway,PBKS,104,71,4,26.0,146.48,PBKS
BA Stokes,RR,103,58,2,51.5,177.59,LSG
FH Allen,KKR,103,73,2,51.5,141.1,PBKS
AM Rahane,SRH,103,68,2,51.5,151.47,MI
Sameer Rizvi,KKR,102,49,1,102.0,208.16,LSG
Q de Kock,CSK,102,63,2,51.0,161.9,KKR
V Suryavanshi,SRH,102,58,2,51.0,175.86,PBKS
B Sai Sudharsan,DC,102,64,3,34.0,159.38,CSK
RD Rickelton,DC,101,39,2,50.5,258.97,LSG
DAJ Bracewell,MI,101,60,5,20.2,168.33,RCB
V Kohli,PBKS,100,76,4,25.0,131.58,DC
HC Brook,MI,100,66,1,100.0,151.52,MI
WG Jacks,CSK,99,48,1,99.0,206.25,LSG
N Rana,PBKS,99,67,6,16.5,147.76,PBKS
SA Yadav,KKR,99,69,4,24.75,143.48,DC
Aniket Verma,SRH,99,47,1,99.0,210.64,RR
RD Rickelton,KKR,99,69,3,33.0,143.48,LSG
PP Shaw,CSK,98,69,3,32.67,142.03,RCB
KA Pollard,KKR,98,65,2,49.0,150.77,CSK
SP Narine,SRH,98,47,2,49.0,208.51,KKR
Tilak Varma,RR,98,57,1,98.0,171.93,CSK
S Dube,DC,98,54,1,98.0,181.48,RR
N Wadhera,LSG,98,71,1,98.0,138.03,KKR
FH Allen,DC,98,45,2,49.0,217.78,PBKS
KL Rahul,LSG,97,52,2,48.5,186.54,SRH
DP Conway,RCB,97,57,3,32.33,170.18,PBKS
Q de Kock,RCB,96,57,3,32.0,168.42,KKR
Nithish Kumar Reddy,RCB,96,63,2,48.0,152.38,SRH
HH Pandya,RR,95,66,5,19.0,143.94,MI
Shubman Gill,PBKS,95,59,2,47.5,161.02,LSG
GJ Maxwell,MI,94,47,4,23.5,200.0,RR
PP Shaw,RCB,94,63,5,18.8,149.21,RCB
PP Shaw,RR,94,65,4,23.5,144.62,RCB
Smaran Ravichandran,CSK,94,56,2,47.0,167.86,PBKS
Abishek Porel,SRH,93,53,2,46.5,175.47,DC
SV Samson,RCB,93,66,2,46.5,140.91,GT
N Wadhera,CSK,93,53,2,46.5,175.47,KKR
N Sindhu,LSG,93,56,3,31.0,166.07,DC
AM Rahane,LSG,93,52,3,31.0,178.85,MI
AR Patel,MI,92,55,1,92.0,167.27,CSK
JC Buttler,MI,92,66,2,46.0,139.39,LSG
Ramandeep Singh,RCB,92,62,6,15.33,148.39,LSG
SA Yadav,CSK,92,56,2,46.0,164.29,DC
Naman Dhir,CSK,92,49,3,30.67,187.76,GT
Washington Sundar,RCB,92,52,0,,176.92,PBKS
H Klaasen,GT,91,57,1,91.0,159.65,CSK
Naman Dhir,LSG,91,56,2,45.5,162.5,GT
PP Shaw,PBKS,91,70,2,45.5,130.0,RCB
FH Allen,MI,91,58,5,18.2,156.9,PBKS
C Green,RR,90,47,2,45.0,191.49,KKR
JM Sharma,LSG,90,58,2,45.0,155.17,RCB
KL Rahul,RCB,90,50,2,45.0,180.0,SRH
S Dube,CSK,90,66,2,45.0,136.36,RR
Ishan Kishan,CSK,90,62,3,30.0,145.16,MI
T Stubbs,SRH,90,62,6,15.0,145.16,CSK
F du Plessis,PBKS,90,74,3,30.0,121.62,
WL Madsen,PBKS,90,57,1,90.0,157.89,MI
DP Conway,DC,89,58,3,29.67,153.45,PBKS
N Rana,LSG,89,40,2,44.5,222.5,PBKS
N Rana,RCB,88,39,1,88.0,225.64,PBKS
RR Pant,KKR,88,65,2,44.0,135.38,GT
B Sai Sudharsan,SRH,87,59,4,21.75,147.46,CSK
N Rana,RR,87,47,4,21.75,185.11,PBKS
SA Yadav,RR,87,40,2,43.5,217.5,DC
N Sindhu,PBKS,87,45,4,21.75,193.33,DC
N Sindhu,MI,87,57,3,29.0,152.63,DC
TM Head,KKR,87,53,4,21.75,164.15,MI
Harpreet Brar,RCB,86,73,4,21.5,117.81,PBKS
N Pooran,GT,86,52,2,43.0,165.38,MI
Shubman Gill,KKR,86,64,4,21.5,134.38,LSG
H Klaasen,RR,86,59,2,43.0,145.76,CSK
GJ Maxwell,LSG,86,61,2,43.0,140.98,RR
JP Inglis,PBKS,85,58,2,42.5,146.55,GT
N Rana,MI,85,42,1,85.0,202.38,PBKS
SS Iyer,MI,85,58,2,42.5,146.55,LSG
RR Pant,RCB,85,61,3,28.33,139.34,GT
BJ McMullen,RCB,85,53,2,42.5,160.38,RR
HS Desai,PBKS,85,63,3,28.33,134.92,PBKS
Arshad Khan,RR,84,35,1,84.0,240.0,RR
C Green,SRH,84,70,3,28.0,120.0,KKR
JR Hazlewood,RR,84,64,5,16.8,131.25,RR
JM Bairstow,DC,84,58,3,28.0,144.83,
RM Patidar,RCB,83,45,1,83.0,184.44,KKR
N Pooran,DC,83,60,3,27.67,138.33,MI
AK Markram,DC,83,43,3,27.67,193.02,DC
YBK Jaiswal,SRH,82,44,3,27.33,186.36,RR
V Suryavanshi,KKR,82,44,2,41.0,186.36,PBKS
SS Iyer,KKR,82,57,3,27.33,143.86,LSG
Naman Dhir,MI,82,50,3,27.33,164.0,GT
Dhruv Jurel,KKR,81,59,3,27.0,137.29,RCB
Naman Dhir,RCB,81,48,3,27.0,168.75,GT
A Raghuvanshi,KKR,81,65,8,10.12,124.62,KKR
Atharva Taide,MI,81,51,2,40.5,158.82,MI
Ashutosh Sharma,CSK,80,39,1,80.0,205.13,RCB
Smaran Ravichandran,DC,80,54,1,80.0,148.15,PBKS
Shakib Al Hasan,PBKS,80,88,8,10.0,90.91,PBKS
P Simran Singh,KKR,80,45,3,26.67,177.78,SRH
JP Inglis,SRH,79,42,2,39.5,188.1,GT
Sameer Rizvi,RCB,79,35,2,39.5,225.71,LSG
Shashank Singh,RCB,79,45,3,26.33,175.56,PBKS
Salman Nizar,PBKS,78,51,1,78.0,152.94,RR
RD Rickelton,CSK,78,54,5,15.6,144.44,LSG
CH Gayle,SRH,78,53,1,78.0,147.17,CSK
LS Livingstone,RCB,78,60,3,26.0,130.0,RCB
KL Rahul,RR,78,57,4,19.5,136.84,SRH
N Sindhu,KKR,77,37,3,25.67,208.11,DC
Nithish Kumar Reddy,RR,77,46,2,38.5,167.39,SRH
HV Patel,PBKS,77,50,5,15.4,154.0,RR
WL Madsen,SRH,77,53,2,38.5,145.28,MI
N Pooran,KKR,77,69,1,77.0,111.59,MI
RA Tripathi,KKR,77,52,3,25.67,148.08,KKR
CH Gayle,KKR,77,51,1,77.0,150.98,CSK
H Klaasen,KKR,76,47,3,25.33,161.7,CSK
Suryansh Shedge,CSK,76,62,11,6.91,122.58,CSK
Tilak Varma,MI,76,38,3,25.33,200.0,CSK
BA Stokes,GT,76,43,2,38.0,176.74,LSG
V Kohli,GT,76,53,3,25.33,143.4,DC
AK Markram,RR,75,65,2,37.5,115.38,DC
Chirag Jani,GT,75,41,1,75.0,182.93,PBKS
RA Tripathi,RR,75,55,3,25.0,136.36,KKR
Ramandeep Singh,LSG,75,50,3,25.0,150.0,LSG
Utkarsh Singh,PBKS,75,55,3,25.0,136.36,PBKS
SS Iyer,RR,75,49,4,18.75,153.06,LSG
Smaran Ravichandran,KKR,74,48,2,37.0,154.17,PBKS
D Padikkal,SRH,74,49,2,37.0,151.02,KKR
RK Singh,DC,73,45,1,73.0,162.22,MI
T Stubbs,RR,73,50,1,73.0,146.0,CSK
P Simran Singh,MI,73,54,2,36.5,135.19,SRH
TM Head,DC,73,50,3,24.33,146.0,MI
JP Inglis,DC,73,44,3,24.33,165.91,GT
FH Allen,GT,72,55,3,24.0,130.91,PBKS
DP Conway,SRH,72,46,0,,156.52,PBKS
FH Allen,RCB,72,45,3,24.0,160.0,PBKS
YBK Jaiswal,LSG,72,45,2,36.0,160.0,RR
N Sindhu,GT,71,43,2,35.5,165.12,DC
C Green,MI,71,39,0,,182.05,KKR
MP Stoinis,RCB,70,40,3,23.33,175.0,
Q de Kock,SRH,70,30,1,70.0,233.33,KKR
JM Sharma,KKR,70,43,1,70.0,162.79,RCB
R Parag,KKR,70,61,3,23.33,114.75,GT
J Fraser-McGurk,CSK,70,48,3,23.33,145.83,KKR
Ishan Kishan,RR,69,51,3,23.0,135.29,MI
AK Markram,GT,69,50,2,34.5,138.0,DC
YBK Jaiswal,KKR,69,39,2,34.5,176.92,RR
LS Livingstone,LSG,69,45,2,34.5,153.33,RCB
Ashutosh Sharma,SRH,68,60,4,17.0,113.33,RCB
Tilak Varma,LSG,68,47,2,34.0,144.68,CSK
Rahul Singh,CSK,68,31,1,68.0,219.35,RCB
H Klaasen,RCB,68,50,4,17.0,136.0,CSK
JP Inglis,CSK,68,52,2,34.0,130.77,GT
Abishek Porel,RR,68,31,2,34.0,219.35,DC
AR Patel,KKR,68,51,2,34.0,133.33,CSK
AB de Villiers,SRH,68,51,1,68.0,133.33,RR
Shahbaz Ahmed,SRH,68,47,2,34.0,144.68,GT
D Brevis,PBKS,68,59,4,17.0,115.25,RR
R Parag,RR,67,35,3,22.33,191.43,GT
HC Brook,DC,67,39,1,67.0,171.79,MI
R Parag,CSK,67,46,4,16.75,145.65,GT
JM Sharma,DC,67,35,0,,191.43,RCB
WG Jacks,RR,67,48,3,22.33,139.58,LSG
BJ McMullen,SRH,67,57,3,22.33,117.54,RR
Sikandar Raza,PBKS,67,43,1,67.0,155.81,MI
Sameer Rizvi,PBKS,66,41,2,33.0,160.98,LSG
Nithish Kumar Reddy,MI,66,62,3,22.0,106.45,SRH
Washington Sundar,MI,66,46,2,33.0,143.48,PBKS
BM Duckett,MI,66,45,2,33.0,146.67,PBKS
LG Pretorius,GT,66,46,3,22.0,143.48,RR
Smaran Ravichandran,LSG,65,52,3,21.67,125.0,PBKS
SS Iyer,SRH,65,58,4,16.25,112.07,LSG
Tilak Varma,GT,65,48,4,16.25,135.42,CSK
Shubman Gill,CSK,65,44,3,21.67,147.73,LSG
Bilal Zalmai,MI,65,41,1,65.0,158.54,MI
Q de Kock,LSG,65,49,3,21.67,132.65,KKR
Naman Dhir,PBKS,65,38,3,21.67,171.05,GT
WG Jacks,SRH,65,42,5,13.0,154.76,LSG
RD Gaikwad,KKR,65,37,3,21.67,175.68,GT
N Sindhu,RCB,64,43,2,32.0,148.84,DC
Aniket Verma,CSK,64,49,2,32.0,130.61,RR
N Pooran,LSG,64,40,1,64.0,160.0,MI
BA Stokes,CSK,64,53,2,32.0,120.75,LSG
AK Markram,KKR,63,37,2,31.5,170.27,DC
DJ Hooda,DC,63,39,1,63.0,161.54,LSG
Washington Sundar,LSG,63,50,1,63.0,126.0,PBKS
MA Starc,KKR,63,65,7,9.0,96.92,KKR
SP Narine,CSK,63,38,1,63.0,165.79,KKR
R Parag,SRH,63,30,2,31.5,210.0,GT
RG Sharma,LSG,63,40,3,21.0,157.5,KKR
F du Plessis,MI,62,44,2,31.0,140.91,
MG Bracewell,DC,62,44,3,20.67,140.91,
Shashank Singh,DC,62,37,1,62.0,167.57,PBKS
Ishan Kishan,DC,62,53,3,20.67,116.98,MI
DJ Hooda,CSK,61,39,2,30.5,156.41,LSG
Abishek Porel,RCB,61,40,3,20.33,152.5,DC
AR Patel,RCB,61,40,4,15.25,152.5,CSK
Ishan Kishan,SRH,61,41,2,30.5,148.78,MI
JM Vince,CSK,61,37,1,61.0,164.86,RCB
JM Sharma,PBKS,61,32,1,61.0,190.62,RCB
RA Jadeja,DC,60,38,3,20.0,157.89,RCB
RG Sharma,RR,60,35,3,20.0,171.43,KKR
AD Russell,PBKS,60,32,0,,187.5,DC
Ishan Kishan,RCB,60,41,4,15.0,146.34,MI
BJ McMullen,MI,60,44,2,30.0,136.36,RR
Priyansh Arya,CSK,60,35,2,30.0,171.43,SRH
RR Rossouw,SRH,59,27,2,29.5,218.52,SRH
BJ McMullen,LSG,59,44,3,19.67,134.09,RR
D Padikkal,KKR,59,45,2,29.5,131.11,KKR
HH Pandya,GT,59,28,1,59.0,210.71,MI
KK Nair,RR,58,39,2,29.0,148.72,GT
MS Dhoni,CSK,58,45,4,14.5,128.89,KKR
Anmolpreet Singh,KKR,58,33,0,,175.76,CSK
RK Singh,PBKS,58,44,2,29.0,131.82,MI
RD Gaikwad,DC,58,36,3,19.33,161.11,GT
Urvil Patel,RCB,58,37,3,19.33,156.76,DC
