striker,batting_team,num_innings,fours,runs,strike_rate
Abdul Samad,LSG,6,11,118,176.12
Rahul Singh,MI,5,11,131,163.75
AK Markram,SRH,7,11,182,151.67
Sameer Rizvi,LSG,7,10,137,173.42
PHKD Mendis,KKR,5,10,163,173.4
Washington Sundar,PBKS,9,10,146,155.32
HH Pandya,MI,8,10,121,144.05
RR Pant,KKR,7,10,131,135.05
C Green,RCB,7,9,146,205.63
Arshad Khan,KKR,8,9,142,165.12
AD Russell,DC,12,9,180,163.64
BA Stokes,LSG,5,9,78,150.0
KD Karthik,MI,7,9,155,143.52
DAJ Bracewell,MI,5,8,94,167.86
RK Bhui,CSK,12,8,144,125.22
Suryansh Shedge,CSK,12,7,131,177.03
N Wadhera,RR,8,7,125,164.47
A Raghuvanshi,KKR,5,7,66,150.0
T Stubbs,SRH,9,7,130,146.07
Salman Nizar,PBKS,4,7,83,145.61
RS Hangargekar,RCB,4,6,35,233.33
HC Brook,PBKS,4,6,87,164.15
Nithish Kumar Reddy,GT,4,6,58,126.09
MA Agarwal,CSK,4,5,51,212.5
Kartik Sharma,LSG,5,5,107,150.7
DP Conway,GT,3,5,66,143.48
WG Jacks,LSG,6,5,84,129.23
KH Pandya,SRH,7,5,34,113.33
AJ Turner,MI,5,5,75,111.94
RA Jadeja,DC,6,4,74,194.74
Azmatullah Omarzai,RR,1,4,25,192.31
J Fraser-McGurk,RCB,2,4,40,153.85
Jay Gohil,MI,6,4,79,138.6
Umran Malik,MI,2,3,20,222.22
DS Rathi,KKR,3,3,24,200.0
M Jansen,RR,4,3,55,177.42
Yuvraj Chaudhary,RCB,2,3,46,176.92
TH David,LSG,2,3,40,153.85
Harpreet Brar,RCB,4,3,34,147.83
SB Dubey,GT,2,3,29,145.0
MG Bracewell,DC,4,3,25,131.58
GD Phillips,GT,2,3,52,120.93
A Mhatre,KKR,4,3,33,106.45
K Kartikeya,GT,2,2,16,266.67
JO Holder,SRH,2,2,26,236.36
Yudhvir Singh,GT,3,2,34,212.5
A Badoni,SRH,2,2,23,191.67
R Shepherd,GT,6,2,40,160.0
R Ashwin,KKR,6,2,62,155.0
Tanush Kotian,SRH,3,2,27,135.0
Samarth Vyas,MI,1,2,21,131.25
DS Airee,RCB,1,2,14,127.27
Swapnil Singh,RR,1,2,10,125.0
CV Varun,PBKS,3,2,16,123.08
DJ Hooda,GT,2,2,15,93.75
Shakib Al Hasan,PBKS,5,2,24,92.31
Sumit Kumar,DC,2,2,22,91.67
Rashid Khan,GT,3,2,19,86.36
RG Sharma,PBKS,2,2,27,81.82
MM Ali,KKR,5,2,32,74.42
MA Starc,KKR,4,2,15,65.22
Mohammed Siraj,RCB,1,1,11,275.0
A Mishra,CSK,1,1,4,200.0
Ramandeep Singh,LSG,4,1,23,176.92
D Padikkal,GT,2,1,12,150.0
A Nortje,RCB,1,1,6,150.0
R Sai Kishore,GT,5,1,28,147.37
Akash Vasisht,MI,4,1,22,146.67
M Theekshana,MI,1,1,15,136.36
HV Patel,PBKS,2,1,27,135.0
MK Lomror,SRH,2,1,17,121.43
G Coetzee,KKR,1,1,12,120.0
YS Chahal,RCB,2,1,12,120.0
Ravi Bishnoi,PBKS,3,1,10,111.11
AJ Tye,DC,3,1,19,105.56
R Tewatia,RR,2,1,11,100.0
Fazalhaq Farooqi,CSK,1,1,17,94.44
M Shahrukh Khan,RCB,1,1,9,90.0
LH Ferguson,MI,1,1,7,87.5
JJ Bumrah,MI,2,1,6,85.71
Mohammad Nabi,GT,4,1,6,75.0
TA Boult,MI,4,1,10,66.67
