bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
AK Markram,DC,6,174,119,13,14,6,35,3,0,8.77,9.15,5.95,29.41,269.44,4-37 (24),3-1-0
SP Narine,KKR,17,612,400,13,44,21,88,13,0,9.18,30.77,6.15,22.0,212.09,2-16 (16),0-0-0
GF Linde,GT,11,425,264,13,42,16,77,7,0,9.66,20.31,4.55,29.17,219.22,3-37 (24),1-0-0
SL Malinga,PBKS,8,283,175,13,30,9,46,2,0,9.7,13.46,4.49,26.29,236.18,3-33 (24),1-0-0
AR Patel,CSK,10,317,234,12,21,13,71,6,0,8.13,19.5,6.88,30.34,228.8,2-14 (24),0-0-0
Noor Ahmad,MI,8,279,192,12,23,9,56,3,3,8.72,16.0,6.0,29.17,229.97,3-32 (24),2-0-0
Imran Tahir,CSK,8,289,192,12,28,12,70,9,0,9.03,16.0,4.8,36.46,225.2,3-24 (24),2-0-0
Yuvraj Singh,CSK,7,291,150,12,35,13,54,7,0,11.64,12.5,3.12,36.0,220.54,3-39 (24),2-0-0
SH Johnson,GT,5,138,107,11,17,4,53,4,0,7.74,9.73,5.1,49.53,250.78,4-20 (21),2-1-0
YK Pathan,KKR,12,237,180,11,14,10,59,9,0,7.9,16.36,7.5,32.78,229.39,5-19 (24),1-1-1
Ashutosh Sharma,RCB,8,217,150,11,25,5,54,3,0,8.68,13.64,5.0,36.0,223.53,3-15 (18),2-0-0
DR Sams,GT,10,341,210,11,39,11,71,2,0,9.74,19.09,4.2,33.81,199.99,3-50 (24),1-0-0
Ravi Teja,RCB,6,147,123,10,5,10,55,4,0,7.17,12.3,8.2,44.72,241.18,3-12 (18),2-0-0
Naseem Shah,LSG,9,305,216,10,30,9,76,4,0,8.47,21.6,5.54,35.19,196.77,2-18 (24),0-0-0
Washington Sundar,PBKS,9,293,207,10,33,4,64,4,0,8.49,20.7,5.59,30.92,197.19,4-40 (21),2-1-0
Kuldeep Yadav,SRH,11,350,237,10,36,7,64,3,0,8.86,23.7,5.51,27.0,188.63,2-43 (24),0-0-0
D Wiese,GT,11,361,218,10,24,15,38,6,0,9.94,21.8,5.59,17.43,182.9,2-34 (20),0-0-0
R Shepherd,GT,10,412,237,10,41,15,57,5,0,10.43,23.7,4.23,24.05,173.51,2-21 (24),0-0-0
CH Gayle,CSK,9,237,134,10,17,14,38,6,2,10.61,13.4,4.32,28.36,199.1,2-16 (12),0-0-0
S Lamichhane,DC,5,125,95,9,12,3,33,1,0,7.89,10.56,6.33,34.74,220.52,4-36 (23),1-1-0
Shadab Khan,SRH,9,252,186,9,18,11,70,5,1,8.13,20.67,6.41,37.63,193.62,3-25 (18),1-0-0
T Natarajan,CSK,9,355,216,9,37,12,64,3,0,9.86,24.0,4.41,29.63,168.05,2-43 (24),0-0-0
LS Livingstone,KKR,6,129,98,8,10,3,35,1,0,7.9,12.25,7.54,35.71,208.6,4-27 (24),1-1-0
Mohammad Nabi,LSG,7,225,162,8,24,6,57,3,0,8.33,20.25,5.4,35.19,175.81,2-20 (18),0-0-0
Khrievitso Kense,RCB,8,290,192,8,25,11,58,3,0,9.06,24.0,5.33,30.21,164.9,3-34 (24),1-0-0
Suryansh Shedge,CSK,8,275,174,8,19,12,50,8,0,9.48,21.75,5.61,28.74,168.08,2-34 (24),0-0-0
Avesh Khan,GT,6,205,126,8,24,6,37,0,0,9.76,15.75,4.2,29.37,171.61,3-21 (12),2-0-0
R Ashwin,KKR,5,168,98,8,14,9,32,3,1,10.29,12.25,4.26,32.65,183.42,3-10 (12),1-0-0
V Nigam,MI,5,144,108,7,14,1,29,1,0,8.0,15.43,7.2,26.85,180.51,3-26 (18),1-0-0
GD Phillips,GT,4,78,54,7,8,2,14,0,0,8.67,7.71,5.4,25.93,203.44,2-10 (6),0-0-0
Naveen-ul-Haq,SRH,5,183,120,7,19,5,39,3,0,9.15,17.14,5.0,32.5,164.85,3-21 (24),1-0-0
M Prasidh Krishna,MI,10,416,240,7,42,12,50,9,0,10.4,34.29,4.44,20.83,129.89,3-49 (24),1-0-0
Shahbaz Ahmed,GT,3,126,72,7,14,5,22,2,0,10.5,10.29,3.79,30.56,176.9,3-40 (24),1-0-0
JDS Neesham,DC,12,497,282,7,50,20,85,9,0,10.57,40.29,4.03,30.14,125.1,1-29 (18),0-0-0
R Sai Kishore,MI,9,377,202,7,39,13,46,11,0,11.2,28.86,3.88,22.77,130.57,2-25 (24),0-0-0
H Ssenyondo,LSG,3,104,72,6,5,4,21,5,1,8.67,12.0,8.0,29.17,182.45,3-43 (24),1-0-0
Akash Vasisht,DC,5,166,114,6,14,5,30,6,0,8.74,19.0,6.0,26.32,152.55,3-13 (24),1-0-0
Sikandar Raza,MI,5,145,96,6,12,6,36,4,0,9.06,16.0,5.33,37.5,160.44,2-26 (18),0-0-0
DS Rathi,KKR,3,109,72,6,15,1,27,1,0,9.08,12.0,4.5,37.5,168.43,2-34 (24),0-0-0
DAJ Bracewell,RCB,6,222,134,6,32,5,50,4,0,9.94,22.33,3.62,37.31,137.44,2-32 (20),0-0-0
MP Yadav,PBKS,6,223,133,6,19,12,43,3,0,10.06,22.17,4.29,32.33,137.59,2-31 (24),0-0-0
D Brevis,RR,10,281,162,6,37,7,44,2,1,10.41,27.0,3.68,27.16,125.07,2-25 (18),0-0-0
Mohammed Shami,GT,4,157,90,6,18,5,25,2,0,10.47,15.0,3.91,27.78,147.1,2-37 (24),0-0-0
Yudhvir Singh,RCB,4,139,78,6,19,5,30,3,0,10.69,13.0,3.25,38.46,154.89,2-21 (18),0-0-0
MG Erasmus,RCB,7,213,162,5,22,6,58,4,0,7.89,32.4,5.79,35.8,132.54,2-39 (24),0-0-0
Harsh Dubey,RCB,6,158,114,5,9,4,29,3,0,8.32,22.8,8.77,25.44,151.31,2-13 (12),0-0-0
Nithish Kumar Reddy,SRH,11,241,162,5,16,9,32,4,0,8.93,32.4,6.48,19.75,124.88,1-17 (12),0-0-0
Azmatullah Omarzai,LSG,5,187,120,5,19,9,41,1,0,9.35,24.0,4.29,34.17,126.73,2-19 (24),0-0-0
Abdul Samad,LSG,8,148,90,5,10,7,26,7,0,9.87,18.0,5.29,28.89,138.19,2-27 (12),0-0-0
Mayank Dagar,LSG,4,129,78,5,13,4,23,5,0,9.92,15.6,4.59,29.49,140.03,2-28 (24),0-0-0
BA Stokes,SRH,5,220,108,5,26,9,33,7,0,12.22,21.6,3.09,30.56,116.62,3-57 (24),1-0-0
Ashwin Das,LSG,3,103,72,4,6,6,25,2,0,8.58,18.0,6.0,34.72,135.76,3-35 (24),1-0-0
JJ Smit,PBKS,6,212,138,4,16,5,28,3,0,9.22,34.5,6.57,20.29,113.86,1-23 (18),0-0-0
Pulkit Narang,RR,5,167,108,4,15,9,39,1,0,9.28,27.0,4.5,36.11,115.21,1-21 (18),0-0-0
Khushdil Shah,DC,5,186,120,4,18,7,39,4,1,9.3,30.0,4.8,32.5,112.92,1-30 (24),0-0-0
KK Ahmed,RR,4,148,84,4,20,5,34,7,0,10.57,21.0,3.36,40.48,116.86,2-28 (18),0-0-0
Ramandeep Singh,LSG,10,213,120,4,15,9,19,5,0,10.65,30.0,5.0,15.83,102.3,2-29 (18),0-0-0
PJ Cummins,RR,4,160,90,4,24,2,23,2,0,10.67,22.5,3.46,25.56,107.23,2-44 (24),0-0-0
M Siddharth,CSK,7,261,132,4,27,14,45,2,1,11.86,33.0,3.22,34.09,96.39,1-16 (12),0-0-0
Atharva Ankolekar,MI,3,134,67,4,15,7,21,3,0,12.0,16.75,3.05,31.34,114.99,3-28 (20),1-0-0
SS Ghosh,MI,2,88,42,4,4,8,12,0,0,12.57,10.5,3.5,28.57,135.22,3-31 (18),1-0-0
Harsh Tyagi,SRH,4,74,54,3,10,2,25,1,0,8.22,18.0,4.5,46.3,124.22,2-6 (12),0-0-0
Hemang Patel,GT,8,109,72,3,11,2,21,5,0,9.08,24.0,5.54,29.17,110.8,1-6 (6),0-0-0
DJ Bravo,RCB,4,100,66,3,13,1,17,2,0,9.09,22.0,4.71,25.76,106.48,2-7 (12),0-0-0
Chirag Jani,PBKS,8,178,114,3,15,6,25,0,0,9.37,38.0,5.43,21.93,94.89,1-10 (12),0-0-0
RA Jadeja,RCB,6,146,90,3,16,3,18,2,0,9.73,30.0,4.74,20.0,94.64,1-26 (18),0-0-0
Arshad Khan,RR,7,105,60,3,3,7,10,3,0,10.5,20.0,6.0,16.67,107.78,2-19 (12),0-0-0
M Jansen,SRH,3,130,72,3,11,6,25,4,0,10.83,24.0,4.24,34.72,103.85,2-39 (24),0-0-0
Abhishek Sharma,MI,7,128,70,3,9,4,11,5,0,10.97,23.33,5.38,15.71,100.12,1-11 (4),0-0-0
RD Chahar,CSK,6,167,84,3,13,9,19,0,0,11.93,28.0,3.82,22.62,88.66,2-17 (12),0-0-0
MR Marsh,SRH,4,84,42,3,9,4,11,1,0,12.0,14.0,3.23,26.19,109.16,2-14 (12),0-0-0
BJ McMullen,RR,5,117,54,3,17,2,9,0,0,13.0,18.0,2.84,16.67,91.92,2-26 (12),0-0-0
JN Loftie-Eaton,RR,3,56,55,2,4,3,30,1,1,6.11,27.5,7.86,54.55,129.08,1-15 (13),0-0-0
Jagjit Singh,SRH,2,51,42,2,5,1,18,1,0,7.29,21.0,7.0,42.86,121.49,2-29 (24),0-0-0
Shakib Al Hasan,PBKS,7,167,132,2,9,8,45,2,0,7.59,66.0,7.76,34.09,98.75,1-18 (24),0-0-0
VG Arora,KKR,2,62,48,2,6,1,17,1,0,7.75,24.0,6.86,35.42,112.29,1-26 (24),0-0-0
AA Kulkarni,GT,3,39,30,2,1,1,7,0,0,7.8,15.0,15.0,23.33,159.4,2-9 (12),0-0-0
C Sakariya,SRH,3,95,72,2,6,3,17,2,0,7.92,36.0,8.0,23.61,102.68,2-24 (24),0-0-0
DS Airee,RCB,2,49,36,2,6,1,13,0,0,8.17,18.0,5.14,36.11,110.38,2-38 (24),0-0-0
RA Bawa,SRH,9,153,108,2,13,4,27,1,0,8.5,54.0,6.35,25.0,87.52,1-19 (12),0-0-0
V Puthur,DC,4,138,84,2,16,5,28,0,0,9.86,42.0,4.0,33.33,80.54,1-23 (18),0-0-0
A Zampa,RR,2,79,43,2,4,5,7,0,0,11.02,21.5,4.78,16.28,87.5,1-39 (19),0-0-0
MP Stoinis,KKR,10,273,144,2,30,13,42,4,0,11.38,72.0,3.35,29.17,60.98,1-25 (12),0-0-0
AD Russell,DC,8,342,180,2,45,12,49,4,0,11.4,90.0,3.16,27.22,54.21,1-40 (24),0-0-0
TU Deshpande,MI,3,117,60,2,12,6,15,2,0,11.7,30.0,3.33,25.0,75.86,1-20 (12),0-0-0
Waqar Salamkheil,PBKS,2,95,48,2,7,5,10,2,0,11.88,24.0,4.0,20.83,82.5,1-35 (24),0-0-0
RS Hangargekar,MI,3,144,72,2,12,7,15,1,0,12.0,36.0,3.79,20.83,72.17,1-39 (24),0-0-0
Ravi Bishnoi,LSG,4,136,66,2,12,9,19,2,0,12.36,33.0,3.14,28.79,73.72,2-47 (24),0-0-0
SN Thakur,GT,1,54,24,2,9,1,6,2,0,13.5,12.0,2.4,25.0,0.0,2-54 (24),0-0-0
KC Cariappa,MI,1,26,24,1,4,0,10,0,0,6.5,24.0,6.0,41.67,0.0,1-26 (24),0-0-0
KA Pollard,CSK,3,31,24,1,4,0,8,0,0,7.75,24.0,6.0,33.33,0.0,1-12 (12),0-0-0
NA Rathva,RCB,3,33,24,1,1,2,8,1,0,8.25,24.0,8.0,33.33,0.0,1-10 (6),0-0-0
R Parag,GT,6,74,48,1,3,4,11,0,0,9.25,48.0,6.86,22.92,79.03,1-10 (6),0-0-0
A Sheth,DC,1,38,24,1,2,2,5,0,0,9.5,24.0,6.0,20.83,0.0,1-38 (24),0-0-0
Cheepurapalli Stephen,CSK,1,38,24,1,5,0,3,1,1,9.5,24.0,4.8,12.5,0.0,1-38 (24),0-0-0
PHKD Mendis,SRH,8,133,84,1,12,4,26,1,1,9.5,84.0,5.25,30.95,68.8,1-13 (12),0-0-0
Rashid Khan,RR,4,146,90,1,14,4,29,1,0,9.73,90.0,5.0,32.22,67.17,1-37 (24),0-0-0
Yash Thakur,PBKS,2,71,42,1,9,0,8,1,0,10.14,42.0,4.67,19.05,66.8,1-35 (24),0-0-0
TM Head,GT,4,95,54,1,8,4,16,4,0,10.56,54.0,4.5,29.63,67.51,1-15 (12),0-0-0
Swapnil Singh,CSK,1,44,24,1,4,3,7,0,0,11.0,24.0,3.43,29.17,0.0,1-44 (24),0-0-0
S Gopal,GT,1,45,24,1,2,2,7,1,0,11.25,24.0,6.0,29.17,0.0,1-45 (24),0-0-0
Ashwani Kumar,RR,1,34,18,1,1,3,6,1,0,11.33,18.0,4.5,33.33,0.0,1-34 (18),0-0-0
SN Netravalkar,CSK,1,47,24,1,4,3,6,0,0,11.75,24.0,3.43,25.0,0.0,1-47 (24),0-0-0
Harshit Rana,KKR,1,36,18,1,5,2,8,1,0,12.0,18.0,2.57,44.44,0.0,1-36 (18),0-0-0
Rasikh Salam,GT,5,250,120,1,25,8,15,5,0,12.5,120.0,3.64,12.5,40.12,1-40 (24),0-0-0
I Sharma,RCB,1,54,24,1,7,3,7,0,0,13.5,24.0,2.4,29.17,0.0,1-54 (24),0-0-0
Sanvir Singh,LSG,1,27,12,1,2,2,2,1,0,13.5,12.0,3.0,16.67,0.0,1-27 (12),0-0-0
Sumit Kumar,DC,1,51,18,1,5,4,2,0,0,17.0,18.0,2.0,11.11,0.0,1-51 (18),0-0-0
D Ferreira,DC,1,12,12,0,1,0,6,1,0,6.0,inf,12.0,50.0,0.0,0-12 (12),0-0-0
Utkarsh Singh,PBKS,1,14,12,0,1,0,2,1,0,7.0,inf,12.0,16.67,0.0,0-14 (12),0-0-0
K Kartikeya,GT,1,29,24,0,3,0,4,0,0,7.25,inf,8.0,16.67,0.0,0-29 (24),0-0-0
WL Madsen,MI,1,9,6,0,0,1,3,0,0,9.0,inf,6.0,50.0,0.0,0-9 (6),0-0-0
KH Pandya,SRH,1,28,18,0,3,2,9,0,0,9.33,inf,3.6,50.0,0.0,0-28 (18),0-0-0
SZ Mulani,LSG,1,39,24,0,2,2,6,1,0,9.75,inf,6.0,25.0,0.0,0-39 (24),0-0-0
JG Bethell,LSG,1,10,6,0,2,0,2,0,0,10.0,inf,3.0,33.33,0.0,0-10 (6),0-0-0
HV Patel,RR,1,32,18,0,3,1,2,0,0,10.67,inf,4.5,11.11,0.0,0-32 (18),0-0-0
GJ Maxwell,RR,7,88,48,0,8,2,6,1,0,11.0,inf,4.8,12.5,37.59,0-4 (6),0-0-0
Jaskaran Singh,KKR,2,45,24,0,9,0,8,1,0,11.25,inf,2.67,33.33,0.0,0-17 (12),0-0-0
Harpreet Brar,RR,2,81,42,0,10,1,4,1,0,11.57,inf,3.82,9.52,30.46,0-40 (18),0-0-0
Ihsanullah,DC,2,93,48,0,9,4,13,0,0,11.62,inf,3.69,27.08,39.05,0-41 (24),0-0-0
SS Agarwal,DC,1,50,24,0,4,3,5,0,0,12.5,inf,3.43,20.83,0.0,0-50 (24),0-0-0
M Markande,SRH,1,53,24,0,5,3,3,1,0,13.25,inf,3.0,12.5,0.0,0-53 (24),0-0-0
CH Morris,DC,4,163,72,0,24,5,16,1,0,13.58,inf,2.48,22.22,24.6,0-15 (6),0-0-0
Tilak Varma,CSK,1,20,6,0,3,1,1,0,1,20.0,inf,1.5,16.67,0.0,0-20 (6),0-0-0
