partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
Ishan Kishan  - J Fraser-McGurk,KKR,99,62,4,11,3,159.68,24.75,4.43
KL Rahul  - P Simran Singh,SRH,98,57,4,8,5,171.93,24.5,4.38
Kartik Sharma  - P Simran Singh,SRH,96,59,2,10,3,162.71,48.0,4.54
JC Buttler  - N Sindhu,DC,96,34,1,6,9,282.35,96.0,2.27
Abhishek Pathak  - Priyansh Arya,RCB,94,49,1,8,4,191.84,94.0,4.08
Sonu Yadav  - Tanush Kotian,CSK,93,52,2,8,6,178.85,46.5,3.71
Abhishek Pathak  - JM Sharma,RCB,93,47,4,6,7,197.87,23.25,3.62
R Smaran  - V Suryavanshi,PBKS,93,63,2,10,3,147.62,46.5,4.85
Aniket Verma  - Kumar Kushagra,RR,92,49,1,8,4,187.76,92.0,4.08
JJ Smit  - Shashank Singh,PBKS,90,49,4,7,6,183.67,22.5,3.77
KA Pollard  - YBK Jaiswal,RR,89,37,2,6,7,240.54,44.5,2.85
RD Gaikwad  - Tanush Kotian,CSK,88,47,2,10,3,187.23,44.0,3.62
PHKD Mendis  - Shashank Singh,PBKS,88,55,3,8,2,160.0,29.33,5.5
Kartik Sharma  - VR Iyer,SRH,87,49,4,5,5,177.55,21.75,4.9
Abishek Porel  - HH Pandya,LSG,85,31,1,8,7,274.19,85.0,2.07
C Green  - Shahbaz Ahmed,KKR,84,46,1,7,4,182.61,84.0,4.18
GJ Maxwell  - MJ Owen,DC,83,53,4,10,2,156.6,20.75,4.42
Ritik Vats  - SA Yadav,DC,82,45,1,7,5,182.22,82.0,3.75
H Klaasen  - KK Nair,CSK,81,47,1,3,5,172.34,81.0,5.88
Abhishek Sharma  - Tushar Raheja,MI,81,45,1,10,2,180.0,81.0,3.75
PHKD Mendis  - Vansh Bedi,PBKS,79,41,3,8,2,192.68,26.33,4.1
RD Gaikwad  - T Stubbs,CSK,79,41,3,7,4,192.68,26.33,3.73
Aniket Verma  - GD Phillips,RR,79,39,3,10,2,202.56,26.33,3.25
Kunal Chandela  - Urvil Patel,MI,78,52,2,1,7,150.0,39.0,6.5
CH Gayle  - RM Patidar,RCB,76,26,1,9,5,292.31,76.0,1.86
Ajay Rohera  - DP Conway,LSG,75,53,2,7,3,141.51,37.5,5.3
Abhishek Pathak  - RM Patidar,RCB,74,51,3,6,2,145.1,24.67,6.38
PHKD Mendis  - R Smaran,PBKS,74,40,4,5,4,185.0,18.5,4.44
SA Yadav  - Tarang Gohel,DC,73,49,2,8,2,148.98,36.5,4.9
Naman Dhir  - R Parag,GT,71,37,1,4,4,191.89,71.0,4.62
Abhishek Tanwar  - MR Marsh,MI,70,40,1,8,1,175.0,70.0,4.44
Kartik Sharma  - MP Stoinis,SRH,70,29,0,5,5,241.38,inf,2.9
Nithish Kumar Reddy  - V Nigam,GT,70,43,1,6,3,162.79,70.0,4.78
H Klaasen  - Tanush Kotian,CSK,70,49,2,6,2,142.86,35.0,6.12
N Sindhu  - SA Yadav,DC,69,33,3,2,6,209.09,23.0,4.12
D Forrester  - HH Pandya,LSG,69,22,1,0,9,313.64,69.0,2.44
PD Salt  - S Dube,RR,68,43,2,5,2,158.14,34.0,6.14
Atharva Taide  - RM Patidar,RCB,68,48,1,3,2,141.67,68.0,9.6
Rishabh Chouhan  - V Nigam,GT,68,49,3,5,1,138.78,22.67,8.17
Ashutosh Sharma  - J Overton,GT,68,32,2,9,3,212.5,34.0,2.67
RD Gaikwad  - Tilak Varma,CSK,66,33,4,10,2,200.0,16.5,2.75
KA Pollard  - Sakibul Gani,RR,64,31,2,2,4,206.45,32.0,5.17
Akshat Raghuwanshi  - Urvil Patel,MI,63,33,1,5,3,190.91,63.0,4.12
Sameer Rizvi  - Shubman Gill,LSG,62,22,1,7,4,281.82,62.0,2.0
Jay Gohil  - Sairaj Patil,KKR,62,33,1,6,4,187.88,62.0,3.3
KK Nair  - Tilak Varma,CSK,62,34,3,9,0,182.35,20.67,3.78
J Overton  - V Nigam,GT,62,33,0,5,4,187.88,inf,3.67
C Green  - SS Iyer,KKR,59,40,3,4,4,147.5,19.67,5.0
C Connolly  - SV Samson,GT,59,39,2,11,0,151.28,29.5,3.55
D Brevis  - R Parag,GT,58,33,2,3,3,175.76,29.0,5.5
Kartik Sharma  - SU Parakh,SRH,58,32,1,4,4,181.25,58.0,4.0
A Mhatre  - RM Patidar,RCB,57,39,1,4,2,146.15,57.0,6.5
LR Chethan  - Shubman Gill,LSG,56,30,2,5,2,186.67,28.0,4.29
MS Pepper  - TL Seifert,PBKS,55,20,1,6,4,275.0,55.0,2.0
GD Phillips  - KA Pollard,RR,55,29,1,4,3,189.66,55.0,4.14
Abishek Porel  - FH Allen,LSG,54,39,1,5,2,138.46,54.0,5.57
CH Gayle  - PWH de Silva,RCB,52,31,2,9,1,167.74,26.0,3.1
R Smaran  - Shashank Singh,PBKS,50,30,2,2,3,166.67,25.0,6.0
Ishan Kishan  - S Arora,KKR,50,33,2,2,3,151.52,25.0,6.6
T Stubbs  - Tanush Kotian,CSK,50,24,2,5,3,208.33,25.0,3.0
C Connolly  - V Nigam,GT,50,40,1,1,3,125.0,50.0,10.0
MS Pepper  - SP Narine,PBKS,48,28,1,2,2,171.43,48.0,7.0
GD Phillips  - Vishnu Vinod,RR,48,35,3,1,3,137.14,16.0,8.75
MS Pepper  - V Suryavanshi,PBKS,47,37,1,5,2,127.03,47.0,5.29
Abhishek Tanwar  - Siddhesh Veer,MI,47,35,3,2,2,134.29,15.67,8.75
Abishek Porel  - DP Conway,LSG,44,23,1,3,2,191.3,44.0,4.6
N Sindhu  - Ritik Vats,DC,43,21,1,3,4,204.76,43.0,3.0
Priyansh Arya  - RG Sharma,RCB,42,27,1,4,1,155.56,42.0,5.4
AM Rahane  - H Klaasen,CSK,42,28,1,2,4,150.0,42.0,4.67
MR Marsh  - N Pooran,MI,42,20,2,2,3,210.0,21.0,4.0
Abhishek Sharma  - Siddhesh Veer,MI,41,23,1,2,2,178.26,41.0,5.75
JM Vince  - V Kohli,CSK,40,22,1,5,1,181.82,40.0,3.67
Adarsh Singh  - GJ Maxwell,DC,40,29,1,2,1,137.93,40.0,9.67
MS Pepper  - Shashank Singh,PBKS,40,36,1,2,0,111.11,40.0,18.0
N Rana  - V Suryavanshi,PBKS,40,26,1,5,1,153.85,40.0,4.33
P Simran Singh  - WG Jacks,SRH,39,35,1,2,1,111.43,39.0,11.67
Rohan Kunnummal  - Urvil Patel,MI,39,25,3,5,1,156.0,13.0,4.17
A Mhatre  - Priyansh Arya,RCB,38,21,1,7,0,180.95,38.0,3.0
Naveen-ul-Haq  - RE van der Merwe,CSK,38,25,2,4,2,152.0,19.0,4.17
RD Rickelton  - S Dube,RR,37,28,2,2,1,132.14,18.5,9.33
Kartik Sharma  - WG Jacks,SRH,36,24,1,3,1,150.0,36.0,6.0
CH Gayle  - Priyansh Arya,RCB,34,23,3,2,1,147.83,11.33,7.67
Ajay Rohera  - FH Allen,LSG,34,23,1,5,1,147.83,34.0,3.83
F du Plessis  - Tilak Varma,CSK,34,38,3,4,1,89.47,11.33,7.6
Ashutosh Sharma  - SV Samson,GT,33,20,1,7,0,165.0,33.0,2.86
Sikandar Raza  - Urvil Patel,MI,33,25,1,1,1,132.0,33.0,12.5
KA Pollard  - Vishnu Vinod,RR,32,28,3,3,1,114.29,10.67,7.0
SP Narine  - TL Seifert,PBKS,31,21,1,5,0,147.62,31.0,4.2
Gourav Choudhury  - MR Marsh,MI,30,27,1,3,0,111.11,30.0,9.0
SV Samson  - V Nigam,GT,29,21,3,3,1,138.1,9.67,5.25
GF Linde  - V Nigam,GT,29,20,1,3,1,145.0,29.0,5.0
SP Narine  - Sanskar Rawat,PBKS,28,25,1,4,1,112.0,28.0,5.0
Anmol Malhotra  - V Nigam,GT,26,24,1,3,0,108.33,26.0,8.0
J Suresh Kumar  - TL Seifert,PBKS,26,22,2,3,0,118.18,13.0,7.33
Kuldeep Yadav  - RA Jadeja,LSG,23,20,0,1,2,115.0,inf,6.67
Vishnu Vinod  - YBK Jaiswal,RR,21,20,1,1,0,105.0,21.0,20.0
S Dube  - Vishnu Vinod,RR,19,22,3,1,0,86.36,6.33,22.0
Karan Lal  - Vishnu Vinod,RR,16,33,1,0,0,48.48,16.0,inf
