bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
VR Iyer,SRH,9,5,144,28.8,6.49
Akash Vasisht,SRH,8,5,162,32.4,6.49
M Pathirana,RCB,8,6,174,29.0,6.32
Tripuresh Singh,RCB,4,6,90,15.0,6.32
Chirag Jani,CSK,10,6,144,24.0,6.25
Shashank Singh,PBKS,14,6,210,35.0,5.94
Ashwin Das,LSG,4,7,85,12.14,5.93
TA Boult,MI,6,6,144,24.0,5.83
AS Roy,GT,5,5,108,21.6,5.43
DW Lawrence,DC,5,4,72,18.0,5.26
V Puthur,DC,3,4,60,15.0,5.26
Swapnil Singh,CSK,5,5,108,21.6,5.21
Usman Khan (2),CSK,2,5,36,7.2,5.21
Mohit Redkar,CSK,4,5,96,19.2,5.21
CH Gayle,CSK,3,5,42,8.4,5.21
Harsh Tyagi,SRH,2,4,42,10.5,5.19
Naveen-ul-Haq,SRH,5,4,120,30.0,5.19
SL Malinga,PBKS,5,5,108,21.6,4.95
DS Rathi,KKR,4,5,96,19.2,4.59
R Ashwin,KKR,4,5,96,19.2,4.59
D Wiese,GT,5,4,108,27.0,4.35
R Parag,GT,7,4,42,10.5,4.35
Mohammad Nabi,LSG,5,5,120,24.0,4.24
Mohammed Shami,LSG,5,5,114,22.8,4.24
K Kartikeya,LSG,4,5,78,15.6,4.24
Yudhvir Singh,RCB,7,4,126,31.5,4.21
M Siddharth,CSK,2,4,36,9.0,4.17
JN Loftie-Eaton,RR,4,4,90,22.5,4.04
KH Pandya,RR,4,4,84,21.0,4.04
PHKD Mendis,DC,9,3,108,36.0,3.95
Mohammad Ghazanfar,SRH,2,3,48,16.0,3.9
C Sakariya,SRH,2,3,48,16.0,3.9
RA Jadeja,SRH,10,3,126,42.0,3.9
Cheepurapalli Stephen,CSK,4,3,63,21.0,3.12
VG Arora,KKR,2,3,39,13.0,2.75
GJ Maxwell,DC,9,2,114,57.0,2.63
AD Russell,DC,8,2,78,39.0,2.63
Prashant Veer,DC,3,2,36,18.0,2.63
Jagjit Singh,SRH,2,2,42,21.0,2.6
Nithish Kumar Reddy,SRH,8,2,101,50.5,2.6
Abdul Samad,LSG,7,3,54,18.0,2.54
A Kamboj,GT,1,2,18,9.0,2.17
RE van der Merwe,GT,1,2,24,12.0,2.17
Avesh Khan,GT,2,2,48,24.0,2.17
SH Johnson,GT,2,2,42,21.0,2.17
Sanvir Singh,GT,2,2,18,9.0,2.17
Fazalhaq Farooqi,CSK,3,2,66,33.0,2.08
AM Hardie,CSK,5,2,114,57.0,2.08
KA Pollard,CSK,1,2,12,6.0,2.08
AR Patel,CSK,4,2,72,36.0,2.08
BA Stokes,RR,5,2,108,54.0,2.02
Rishad Hossain,RR,2,2,36,18.0,2.02
R Sanjay Yadav,PBKS,1,2,18,9.0,1.98
Sonu Yadav,PBKS,2,2,36,18.0,1.98
DA Payne,PBKS,4,2,84,42.0,1.98
Shakib Al Hasan,PBKS,3,2,42,21.0,1.98
C Connolly,PBKS,3,2,48,24.0,1.98
Rasikh Salam,MI,1,2,24,12.0,1.94
HH Pandya,MI,9,2,186,93.0,1.94
SS Ghosh,MI,2,2,48,24.0,1.94
Mohammad Amir,LSG,2,2,48,24.0,1.69
Naseem Shah,LSG,2,2,48,24.0,1.69
CV Milind,SRH,5,1,108,108.0,1.3
Kuldeep Yadav,SRH,4,1,78,78.0,1.3
Zeeshan Ansari,SRH,1,1,24,24.0,1.3
D Ferreira,GT,3,1,36,36.0,1.09
EA Brookes,RCB,3,1,36,36.0,1.05
Khrievitso Kense,RCB,3,1,66,66.0,1.05
Sakibul Gani,RCB,3,1,48,48.0,1.05
DS Airee,CSK,2,1,13,13.0,1.04
NA Rathva,RR,1,1,18,18.0,1.01
BJ McMullen,RR,5,1,40,40.0,1.01
Ashwani Kumar,RR,1,1,24,24.0,1.01
V Suryavanshi,PBKS,2,1,12,12.0,0.99
Washington Sundar,PBKS,2,1,30,30.0,0.99
Yash Thakur,MI,2,1,36,36.0,0.97
Rashid Khan,MI,2,1,42,42.0,0.97
