player,team,points
M Pathirana,RCB,240
PHKD Mendis,DC,238
Samant Jakhar,DC,237
Sufiyan Muqeem,GT,230
TA Boult,MI,223
Tripuresh Singh,RCB,221
Nithish Kumar Reddy,SRH,220
GD Phillips,GT,217
Akash Vasisht,SRH,211
LI Meriwala,DC,209
S Lamichhane,DC,205
R Ashwin,KKR,204
HS Desai,CSK,201
RD Gaikwad,GT,198
YS Chahal,RCB,194
N Rana,PBKS,194
HV Patel,GT,192
BA Stokes,RR,189
KD Karthik,RR,187
JN Loftie-Eaton,RR,186
T Stubbs,CSK,185
AS Roy,GT,180
Abishek Porel,RR,178
MR Marsh,SRH,178
BJ McMullen,RR,176
Mohammed Shami,LSG,176
AM Hardie,CSK,172
SL Malinga,PBKS,170
AB de Villiers,RR,168
Naveen-ul-Haq,SRH,168
AD Russell,DC,165
Swapnil Singh,CSK,162
Mohit Redkar,CSK,160
KH Pandya,RR,160
RR Rossouw,SRH,157
C Connolly,PBKS,156
V Puthur,DC,155
Yudhvir Singh,RCB,149
D Wiese,GT,148
Ankit Kumar,RR,148
DS Rathi,KKR,146
M Siddharth,CSK,145
Jay Gohil,LSG,145
Abdul Samad,LSG,144
Tushar Raheja,SRH,143
RM Patidar,KKR,138
Smaran Ravichandran,PBKS,131
SR Dickson,RCB,129
Harsh Tyagi,SRH,123
K Kartikeya,LSG,121
MW Short,MI,120
Mohammad Nabi,LSG,115
RD Rickelton,LSG,109
H Klaasen,CSK,108
VG Arora,KKR,107
Mohammad Ghazanfar,SRH,105
TB Robinson,RR,103
Kumar Kushagra,GT,101
MP Stoinis,KKR,101
Shakib Al Hasan,PBKS,98
AA Kulkarni,GT,98
Sanvir Singh,GT,97
Karan Shinde,RCB,97
MS Dhoni,CSK,95
AR Patel,CSK,94
Mohammad Amir,LSG,94
Hassan Nawaz,RCB,93
Anmolpreet Singh,CSK,91
Rasikh Salam,MI,90
DA Payne,PBKS,88
Jagjit Singh,SRH,86
Ishan Kishan,MI,86
Cheepurapalli Stephen,CSK,85
SH Johnson,GT,83
B Sai Sudharsan,PBKS,82
Suryansh Shedge,CSK,81
C Sakariya,SRH,80
Avesh Khan,GT,79
Prashant Veer,DC,77
Fazalhaq Farooqi,CSK,76
TM Head,RR,76
RE van der Merwe,GT,71
R Sanjay Yadav,PBKS,70
SS Ghosh,MI,68
Rishad Hossain,RR,68
EA Brookes,RCB,67
DS Airee,CSK,67
CV Milind,SRH,67
A Kamboj,GT,66
RK Singh,MI,66
Sonu Yadav,PBKS,61
Naseem Shah,LSG,60
D Padikkal,KKR,56
AGS Gous,KKR,49
Yash Thakur,MI,49
Ashwani Kumar,RR,46
NA Rathva,RR,44
Kuldeep Yadav,SRH,42
D Ferreira,GT,41
Khrievitso Kense,RCB,41
SN Khan,RCB,37
Washington Sundar,PBKS,34
D Brevis,LSG,30
Zeeshan Ansari,SRH,29
SS Prabhudessai,MI,28
Ishaan Gadekar,SRH,24
RK Bhui,KKR,24
Rashid Khan,MI,21
Dhruv Jurel,KKR,20
N Wadhera,KKR,20
Tejasvi Dahiya,LSG,20
B Indrajith,RCB,20
Jaskaran Singh,KKR,19
Yashvardhan Dalal,DC,15
SPD Smith,CSK,14
Mukul Choudhary,DC,13
A Mhatre,KKR,13
Kaleem Sana,RCB,13
Harpreet Brar,GT,8
Yuvraj Singh,CSK,7
RA Bawa,SRH,5
Faisal Khan,RCB,5
M Hemanth Reddy,PBKS,5
Aman Rao,DC,4
Shadab Khan,SRH,1
MR Adair,RR,-1
Ramandeep Singh,LSG,-2
S Gopal,GT,-2
T Banton,MI,-3
KK Ahmed,RR,-3
Shashwat Rawat,PBKS,-3
Rahul Singh,RCB,-6
RR Pant,GT,-6
VS Halambage,RCB,-7
Khushdil Shah,DC,-7
